Date,Shares
2020-12-31,975
2020-09-30,974
2020-06-30,972
2020-03-31,976
2019-12-31,1002
2019-09-30,998
2019-06-30,1008
2019-03-31,1017
2018-12-31,1055
2018-09-30,1050
2018-06-30,1066
2018-03-31,1072
2017-12-31,1089
2017-09-30,1089
2017-06-30,1093
2017-03-31,1087
2016-12-31,939
2016-09-30,995
2016-06-30,838
2016-03-31,835
2015-12-31,844
2015-09-30,839
2015-06-30,846
2015-03-31,857
2014-12-31,878
2014-09-30,874
2014-06-30,902
2014-03-31,892
2013-12-31,913
2013-09-30,908
2013-06-30,919
2013-03-31,926
2012-12-31,943
2012-09-30,941
2012-06-30,948
2012-03-31,954
2011-12-31,936
2011-09-30,951
2011-06-30,952
2011-03-31,888
2010-12-31,878
2010-09-30,874
2010-06-30,875
2010-03-31,874
2009-12-31,697
2009-09-30,840
2009-06-30,577
2009-03-31,493
2008-12-31,450
2008-09-30,491
2008-06-30,417
2008-03-31,400
2007-12-31,396
2007-09-30,393
2007-06-30,397
2007-03-31,403
2006-12-31,410
2006-09-30,409
2006-06-30,411
2006-03-31,413
2005-12-31,414
2005-09-30,415
2005-06-30,414
2005-03-31,414
