KeyCorp Debt/Equity Ratio Historical Data,KeyCorp Debt/Equity Ratio Historical Data,KeyCorp Debt/Equity Ratio Historical Data,KeyCorp Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$152.36B,$17.98B,8.47
2020-09-30,$152.82B,$17.72B,8.62
2020-06-30,$153.65B,$17.54B,8.76
2020-03-31,$138.79B,$17.41B,7.97
2019-12-31,$127.95B,$17.04B,7.51
2019-09-30,$129.58B,$17.12B,7.57
2019-06-30,$127.57B,$16.97B,7.52
2019-03-31,$125.59B,$15.93B,7.89
2018-12-31,$124.02B,$15.60B,7.95
2018-09-30,$123.60B,$15.21B,8.13
2018-06-30,$122.69B,$15.10B,8.12
2018-03-31,$122.10B,$14.95B,8.17
2017-12-31,$122.67B,$15.03B,8.17
2017-09-30,$121.48B,$15.25B,7.97
2017-06-30,$120.57B,$15.26B,7.9
2017-03-31,$119.50B,$14.98B,7.98
2016-12-31,$121.21B,$15.24B,7.95
2016-09-30,$120.81B,$15.00B,8.06
2016-06-30,$89.83B,$11.32B,7.94
2016-03-31,$87.33B,$11.07B,7.89
2015-12-31,$84.37B,$10.76B,7.84
2015-09-30,$84.70B,$10.72B,7.9
2015-06-30,$84.00B,$10.60B,7.92
2015-03-31,$83.59B,$10.61B,7.88
2014-12-31,$83.28B,$10.54B,7.9
2014-09-30,$79.28B,$10.50B,7.55
2014-06-30,$81.28B,$10.52B,7.73
2014-03-31,$80.38B,$10.42B,7.72
2013-12-31,$82.61B,$10.32B,8.01
2013-09-30,$80.47B,$10.24B,7.86
2013-06-30,$80.38B,$10.26B,7.83
2013-03-31,$78.82B,$10.38B,7.59
2012-12-31,$78.93B,$10.31B,7.66
2012-09-30,$76.67B,$10.28B,7.46
2012-06-30,$76.35B,$10.18B,7.5
2012-03-31,$77.32B,$10.12B,7.64
2011-12-31,$78.86B,$9.92B,7.95
2011-09-30,$79.34B,$9.92B,8.0
2011-06-30,$79.05B,$9.74B,8.12
2011-03-31,$80.74B,$9.70B,8.33
2010-12-31,$80.47B,$11.37B,7.08
2010-09-30,$82.66B,$11.39B,7.26
2010-06-30,$83.10B,$11.07B,7.51
2010-03-31,$84.38B,$10.92B,7.73
2009-12-31,$82.35B,$10.93B,7.53
2009-09-30,$85.80B,$11.19B,7.67
2009-06-30,$86.73B,$11.06B,7.84
2009-03-31,$87.66B,$10.17B,8.62
2008-12-31,$93.85B,$10.68B,8.79
2008-09-30,$92.43B,$8.86B,10.44
2008-06-30,$92.66B,$8.89B,10.43
2008-03-31,$92.72B,$8.77B,10.57
2007-12-31,$90.48B,$7.75B,11.68
2007-09-30,$88.32B,$7.82B,11.29
2007-06-30,$85.27B,$7.70B,11.07
2007-03-31,$84.54B,$7.72B,10.95
2006-12-31,$84.63B,$7.70B,10.99
2006-09-30,$88.21B,$7.95B,11.1
2006-06-30,$87.06B,$7.74B,11.25
2006-03-31,$85.75B,$7.64B,11.23
2005-12-31,$85.53B,$7.60B,11.26
2005-09-30,$84.80B,$7.52B,11.27
2005-06-30,$83.66B,$7.35B,11.38
2005-03-31,$83.11B,$7.16B,11.61
