SVB Financial Group Debt/Equity Ratio Historical Data,SVB Financial Group Debt/Equity Ratio Historical Data,SVB Financial Group Debt/Equity Ratio Historical Data,SVB Financial Group Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$107.08B,$8.43B,12.7
2020-09-30,$88.95B,$7.97B,11.16
2020-06-30,$78.26B,$7.47B,10.48
2020-03-31,$67.83B,$7.18B,9.44
2019-12-31,$64.38B,$6.62B,9.72
2019-09-30,$62.18B,$6.05B,10.28
2019-06-30,$58.07B,$5.71B,10.18
2019-03-31,$54.68B,$5.48B,9.97
2018-12-31,$51.66B,$5.27B,9.81
2018-09-30,$53.07B,$5.07B,10.47
2018-06-30,$51.06B,$4.81B,10.63
2018-03-31,$48.94B,$4.56B,10.73
2017-12-31,$46.90B,$4.32B,10.86
2017-09-30,$46.56B,$4.20B,11.09
2017-06-30,$44.36B,$4.04B,10.98
2017-03-31,$42.51B,$3.90B,10.89
2016-12-31,$40.91B,$3.78B,10.83
2016-09-30,$39.55B,$3.72B,10.62
2016-06-30,$39.50B,$3.63B,10.87
2016-03-31,$40.06B,$3.51B,11.41
2015-12-31,$41.35B,$3.33B,12.41
2015-09-30,$38.42B,$3.31B,11.59
2015-06-30,$37.05B,$3.19B,11.62
2015-03-31,$35.42B,$4.28B,8.28
2014-12-31,$35.29B,$4.05B,8.71
2014-09-30,$32.10B,$3.94B,8.15
2014-06-30,$29.37B,$3.94B,7.46
2014-03-31,$26.34B,$3.37B,7.82
2013-12-31,$23.34B,$3.08B,7.58
2013-09-30,$20.82B,$2.92B,7.12
2013-06-30,$19.48B,$2.67B,7.29
2013-03-31,$20.13B,$2.66B,7.56
2012-12-31,$20.16B,$2.61B,7.74
2012-09-30,$19.02B,$2.56B,7.44
2012-06-30,$18.85B,$2.44B,7.71
2012-03-31,$18.48B,$2.34B,7.89
2011-12-31,$17.72B,$2.25B,7.87
2011-09-30,$17.00B,$2.19B,7.76
2011-06-30,$17.35B,$2.02B,8.61
2011-03-31,$16.77B,$1.85B,9.08
2010-12-31,$15.78B,$1.75B,9.03
2010-09-30,$13.96B,$1.70B,8.23
2010-06-30,$13.28B,$1.63B,8.16
2010-03-31,$12.58B,$1.55B,8.12
2009-12-31,$11.37B,$1.47B,7.71
2009-09-30,$11.15B,$1.39B,8.0
2009-06-30,$10.14B,$1.33B,7.65
2009-03-31,$9.67B,$1.29B,7.48
2008-12-31,$8.71B,$1.31B,6.64
2008-09-30,$7.34B,$0.73B,10.05
2008-06-30,$6.63B,$0.69B,9.67
2008-03-31,$6.22B,$0.68B,9.22
2007-12-31,$6.02B,$0.68B,8.89
2007-09-30,$5.63B,$0.67B,8.37
2007-06-30,$5.94B,$0.67B,8.87
2007-03-31,$5.19B,$0.65B,7.95
2006-12-31,$5.45B,$0.63B,8.68
2006-09-30,$5.28B,$0.60B,8.86
2006-06-30,$4.90B,$0.57B,8.63
2006-03-31,$4.86B,$0.59B,8.29
2005-12-31,$4.97B,$0.57B,8.73
2005-09-30,$4.82B,$0.55B,8.84
2005-06-30,$4.78B,$0.53B,8.96
2005-03-31,$4.53B,$0.52B,8.77
