SVB Financial Group Price/Book Ratio Historical Data,SVB Financial Group Price/Book Ratio Historical Data,SVB Financial Group Price/Book Ratio Historical Data,SVB Financial Group Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,497.69,,3.06
2020-12-31,387.83,$162.53,2.39
2020-09-30,240.62,$153.85,1.56
2020-06-30,215.53,$144.34,1.49
2020-03-31,151.08,$139.51,1.08
2019-12-31,251.04,$128.18,1.96
2019-09-30,208.95,$117.32,1.78
2019-06-30,224.59,$110.67,2.03
2019-03-31,222.36,$104.81,2.12
2018-12-31,189.92,$100.12,1.9
2018-09-30,310.83,$95.21,3.26
2018-06-30,288.76,$90.30,3.2
2018-03-31,240.01,$86.16,2.79
2017-12-31,233.77,$81.75,2.86
2017-09-30,187.09,$79.61,2.35
2017-06-30,175.79,$76.68,2.29
2017-03-31,186.09,$74.45,2.5
2016-12-31,171.66,$72.28,2.37
2016-09-30,110.54,$71.52,1.55
2016-06-30,95.16,$69.85,1.36
2016-03-31,102.05,$67.91,1.5
2015-12-31,118.9,$64.59,1.84
2015-09-30,115.54,$64.37,1.79
2015-06-30,143.98,$61.98,2.32
2015-03-31,127.04,$83.71,1.52
2014-12-31,116.07,$79.56,1.46
2014-09-30,112.09,$77.53,1.45
2014-06-30,116.62,$77.68,1.5
2014-03-31,128.78,$73.30,1.76
2013-12-31,104.86,$67.23,1.56
2013-09-30,86.37,$64.10,1.35
2013-06-30,83.32,$58.78,1.42
2013-03-31,70.94,$59.20,1.2
2012-12-31,55.97,$58.38,0.96
2012-09-30,60.46,$57.41,1.05
2012-06-30,58.72,$55.05,1.07
2012-03-31,64.34,$53.14,1.21
2011-12-31,47.69,$51.72,0.92
2011-09-30,37.0,$50.67,0.73
2011-06-30,59.71,$46.74,1.28
2011-03-31,56.93,$43.26,1.32
2010-12-31,53.05,$41.36,1.28
2010-09-30,42.32,$40.42,1.05
2010-06-30,41.23,$38.84,1.06
2010-03-31,46.66,$37.31,1.25
2009-12-31,41.66,$35.66,1.17
2009-09-30,43.27,$41.95,1.03
2009-06-30,27.22,$39.98,0.68
2009-03-31,20.01,$39.24,0.51
2008-12-31,26.23,$39.85,0.66
2008-09-30,57.92,$22.32,2.6
2008-06-30,48.11,$21.24,2.26
2008-03-31,43.64,$21.18,2.06
2007-12-31,50.4,$20.71,2.43
2007-09-30,47.36,$20.11,2.36
2007-06-30,53.11,$19.45,2.73
2007-03-31,48.59,$19.09,2.55
2006-12-31,46.62,$18.27,2.55
2006-09-30,44.64,$17.39,2.57
2006-06-30,45.46,$16.30,2.79
2006-03-31,53.05,$16.54,3.21
