Owl Rock Capital Debt/Equity Ratio Historical Data,Owl Rock Capital Debt/Equity Ratio Historical Data,Owl Rock Capital Debt/Equity Ratio Historical Data,Owl Rock Capital Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$5.56B,$5.75B,0.97
2020-09-30,$4.54B,$5.69B,0.8
2020-06-30,$3.91B,$5.59B,0.7
2020-03-31,$3.91B,$5.51B,0.71
2019-12-31,$3.23B,$5.98B,0.54
2019-09-30,$2.64B,$5.93B,0.45
2019-06-30,$1.84B,$5.71B,0.32
2019-03-31,$2.90B,$4.08B,0.71
2018-12-31,$2.69B,$3.27B,0.82
2018-09-30,$2.10B,$2.77B,0.76
2018-06-30,$1.57B,$2.10B,0.75
2018-03-31,$1.40B,$1.67B,0.84
2017-12-31,$0.97B,$1.47B,0.66
2017-09-30,$0.93B,$1.30B,0.71
2017-06-30,$0.81B,$1.08B,0.74
2017-03-31,$0.61B,$0.69B,0.87
2016-12-31,$0.50B,$0.68B,0.74
2016-09-30,$0.39B,$0.47B,0.83
2016-06-30,$0.08B,$0.42B,0.18
2016-03-31,$0.00B,$0.00B,0.0
