Date,Shares
2020-12-31,1510
2020-09-30,1507
2020-06-30,1507
2020-03-31,1519
2019-12-31,1583
2019-09-30,1578
2019-06-30,1592
2019-03-31,1605
2018-12-31,1638
2018-09-30,1633
2018-06-30,1646
2018-03-31,1657
2017-12-31,1683
2017-09-30,1678
2017-06-30,1690
2017-03-31,1701
2016-12-31,1724
2016-09-30,1716
2016-06-30,1731
2016-03-31,1743
2015-12-31,1772
2015-09-30,1766
2015-06-30,1779
2015-03-31,1789
2014-12-31,1813
2014-09-30,1807
2014-06-30,1821
2014-03-31,1828
2013-12-31,1849
2013-09-30,1843
2013-06-30,1853
2013-03-31,1867
2012-12-31,1896
2012-09-30,1897
2012-06-30,1898
2012-03-31,1910
2011-12-31,1923
2011-09-30,1922
2011-06-30,1929
2011-03-31,1928
2010-12-31,1921
2010-09-30,1920
2010-06-30,1921
2010-03-31,1919
2009-12-31,1859
2009-09-30,1917
2009-06-30,1840
2009-03-31,1760
2008-12-31,1756
2008-09-30,1756
2008-06-30,1755
2008-03-31,1748
2007-12-31,1756
2007-09-30,1745
2007-06-30,1760
2007-03-31,1780
2006-12-31,1804
2006-09-30,1796
2006-06-30,1805
2006-03-31,1826
2005-12-31,1857
2005-09-30,1849
2005-06-30,1857
2005-03-31,1880
