Waddell & Reed Financial Debt/Equity Ratio Historical Data,Waddell & Reed Financial Debt/Equity Ratio Historical Data,Waddell & Reed Financial Debt/Equity Ratio Historical Data,Waddell & Reed Financial Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$0.43B,$0.73B,0.59
2020-09-30,$0.38B,$0.75B,0.51
2020-06-30,$0.40B,$0.77B,0.52
2020-03-31,$0.40B,$0.77B,0.53
2019-12-31,$0.46B,$0.81B,0.57
2019-09-30,$0.42B,$0.84B,0.5
2019-06-30,$0.41B,$0.86B,0.48
2019-03-31,$0.36B,$0.87B,0.41
2018-12-31,$0.46B,$0.88B,0.52
2018-09-30,$0.40B,$0.89B,0.45
2018-06-30,$0.40B,$0.89B,0.45
2018-03-31,$0.39B,$0.89B,0.44
2017-12-31,$0.51B,$0.87B,0.59
2017-09-30,$0.53B,$0.87B,0.61
2017-06-30,$0.57B,$0.84B,0.67
2017-03-31,$0.54B,$0.85B,0.64
2016-12-31,$0.56B,$0.84B,0.67
2016-09-30,$0.55B,$0.85B,0.65
2016-06-30,$0.59B,$0.82B,0.72
2016-03-31,$0.61B,$0.84B,0.73
2015-12-31,$0.71B,$0.85B,0.84
2015-09-30,$0.61B,$0.84B,0.72
2015-06-30,$0.62B,$0.85B,0.73
2015-03-31,$0.65B,$0.83B,0.78
2014-12-31,$0.73B,$0.79B,0.92
2014-09-30,$0.61B,$0.79B,0.77
2014-06-30,$0.67B,$0.77B,0.86
2014-03-31,$0.62B,$0.73B,0.85
2013-12-31,$0.65B,$0.69B,0.95
2013-09-30,$0.62B,$0.61B,1.01
2013-06-30,$0.63B,$0.56B,1.12
2013-03-31,$0.66B,$0.55B,1.19
2012-12-31,$0.64B,$0.51B,1.26
2012-09-30,$0.63B,$0.57B,1.12
2012-06-30,$0.57B,$0.57B,1.0
2012-03-31,$0.59B,$0.57B,1.04
2011-12-31,$0.56B,$0.52B,1.07
2011-09-30,$0.53B,$0.52B,1.02
2011-06-30,$0.53B,$0.52B,1.03
2011-03-31,$0.52B,$0.50B,1.06
2010-12-31,$0.52B,$0.46B,1.14
2010-09-30,$0.49B,$0.42B,1.18
2010-06-30,$0.49B,$0.38B,1.31
2010-03-31,$0.51B,$0.39B,1.3
2009-12-31,$0.61B,$0.37B,1.67
2009-09-30,$0.50B,$0.35B,1.44
2009-06-30,$0.46B,$0.33B,1.39
2009-03-31,$0.48B,$0.33B,1.48
2008-12-31,$0.46B,$0.32B,1.42
2008-09-30,$0.47B,$0.37B,1.28
2008-06-30,$0.52B,$0.38B,1.37
2008-03-31,$0.52B,$0.37B,1.38
2007-12-31,$0.51B,$0.38B,1.34
2007-09-30,$0.48B,$0.26B,1.86
2007-06-30,$0.40B,$0.25B,1.62
2007-03-31,$0.40B,$0.23B,1.77
2006-12-31,$0.42B,$0.25B,1.71
2006-09-30,$0.38B,$0.22B,1.73
2006-06-30,$0.41B,$0.22B,1.86
2006-03-31,$0.39B,$0.27B,1.47
2005-12-31,$0.39B,$0.25B,1.56
2005-09-30,$0.37B,$0.23B,1.62
2005-06-30,$0.37B,$0.21B,1.75
2005-03-31,$0.38B,$0.23B,1.7
