Date,EBIT
2020-12-31,$900
2020-09-30,"$1,447"
2020-06-30,"$-2,332"
2020-03-31,$-338
2019-12-31,"$1,344"
2019-09-30,"$1,725"
2019-06-30,$876
2019-03-31,"$1,140"
2018-12-31,"$1,053"
2018-09-30,"$1,838"
2018-06-30,$250
2018-03-31,"$1,693"
2017-12-31,"$1,116"
2017-09-30,"$3,021"
2017-06-30,$608
2017-03-31,"$1,742"
2016-12-31,$317
2016-09-30,"$2,315"
2016-06-30,"$1,341"
2016-03-31,"$1,732"
2015-12-31,$843
2015-09-30,"$2,049"
2015-06-30,"$2,129"
2015-03-31,"$2,748"
2014-12-31,"$-1,750"
2014-09-30,$284
2014-06-30,"$1,507"
2014-03-31,"$1,718"
2013-12-31,$-882
2013-09-30,"$1,526"
2013-06-30,$-769
2013-03-31,"$-1,559"
2012-12-31,$-568
2012-09-30,$-930
2012-06-30,"$2,969"
2012-03-31,$-763
2011-12-31,$846
2011-09-30,"$2,406"
2011-06-30,"$1,084"
2011-03-31,$628
2010-12-31,$-125
2010-09-30,"$1,750"
2010-06-30,"$1,506"
2010-03-31,"$1,009"
2009-12-31,$683
2009-09-30,$848
2009-06-30,$-10
2009-03-31,$3
2008-12-31,"$-1,721"
2008-09-30,$-196
2008-06-30,$628
2008-03-31,$63
2007-12-31,$993
2007-09-30,"$1,120"
2007-06-30,"$1,143"
2007-03-31,"$1,427"
2006-12-31,"$1,371"
2006-09-30,"$1,473"
2006-06-30,$583
2006-03-31,$967
2005-12-31,$522
2005-09-30,"$1,118"
2005-06-30,"$1,316"
2005-03-31,"$1,318"
