BGC Partners Debt/Equity Ratio Historical Data,BGC Partners Debt/Equity Ratio Historical Data,BGC Partners Debt/Equity Ratio Historical Data,BGC Partners Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$3.14B,$0.81B,3.89
2020-09-30,$3.79B,$0.80B,4.72
2020-06-30,$3.74B,$0.76B,4.9
2020-03-31,$5.01B,$0.72B,7.0
2019-12-31,$3.20B,$0.73B,4.42
2019-09-30,$5.75B,$0.80B,7.19
2019-06-30,$4.54B,$0.85B,5.33
2019-03-31,$4.17B,$0.88B,4.74
2018-12-31,$2.57B,$0.86B,2.98
2018-09-30,$6.84B,$1.89B,3.62
2018-06-30,$5.18B,$1.67B,3.11
2018-03-31,$5.34B,$1.44B,3.71
2017-12-31,$4.29B,$1.14B,3.76
2017-09-30,$6.37B,$0.88B,7.23
2017-06-30,$4.06B,$1.12B,3.63
2017-03-31,$3.77B,$1.14B,3.3
2016-12-31,$3.41B,$1.63B,2.09
2016-09-30,$3.63B,$1.19B,3.05
2016-06-30,$3.96B,$1.15B,3.44
2016-03-31,$3.38B,$1.17B,2.89
2015-12-31,$2.75B,$1.23B,2.23
2015-09-30,$3.14B,$0.98B,3.22
2015-06-30,$3.25B,$0.73B,4.47
2015-03-31,$4.71B,$0.58B,8.14
2014-12-31,$2.17B,$0.58B,3.73
2014-09-30,$2.04B,$0.64B,3.19
2014-06-30,$1.82B,$0.63B,2.87
2014-03-31,$2.39B,$0.68B,3.52
2013-12-31,$1.38B,$0.70B,1.96
2013-09-30,$2.22B,$0.73B,3.04
2013-06-30,$2.69B,$0.76B,3.55
2013-03-31,$2.09B,$0.41B,5.07
2012-12-31,$1.21B,$0.43B,2.84
2012-09-30,$1.63B,$0.40B,4.11
2012-06-30,$1.46B,$0.41B,3.54
2012-03-31,$1.43B,$0.42B,3.38
2011-12-31,$0.99B,$0.42B,2.39
2011-09-30,$1.52B,$0.38B,4.03
2011-06-30,$1.47B,$0.36B,4.12
2011-03-31,$1.41B,$0.35B,4.06
2010-12-31,$1.14B,$0.33B,3.43
2010-09-30,$1.14B,$0.33B,3.49
2010-06-30,$1.25B,$0.32B,3.97
2010-03-31,$1.63B,$0.29B,5.59
2009-12-31,$1.13B,$0.33B,3.38
2009-09-30,$1.22B,$0.34B,3.58
2009-06-30,$1.87B,$0.34B,5.49
2009-03-31,$0.86B,$0.34B,2.57
2008-12-31,$0.73B,$0.34B,2.13
2008-09-30,$1.37B,$0.19B,7.36
2008-06-30,$1.57B,$0.21B,7.62
2008-03-31,$0.07B,$0.24B,0.28
2007-12-31,$0.91B,$0.47B,1.94
2007-09-30,$0.06B,$0.24B,0.24
2007-06-30,$0.05B,$0.25B,0.18
2007-03-31,$0.04B,$0.26B,0.16
2006-12-31,$0.04B,$0.25B,0.16
2006-09-30,$0.04B,$0.25B,0.17
2006-06-30,$0.04B,$0.25B,0.15
2006-03-31,$0.04B,$0.25B,0.14
2005-12-31,$0.04B,$0.25B,0.14
2005-09-30,$0.05B,$0.25B,0.19
2005-06-30,$0.04B,$0.25B,0.16
2005-03-31,$0.03B,$0.26B,0.12
