Intercontinental Exchange Debt/Equity Ratio Historical Data,Intercontinental Exchange Debt/Equity Ratio Historical Data,Intercontinental Exchange Debt/Equity Ratio Historical Data,Intercontinental Exchange Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$106.67B,$19.53B,5.46
2020-09-30,$109.03B,$19.05B,5.72
2020-06-30,$107.07B,$16.99B,6.3
2020-03-31,$121.94B,$16.97B,7.19
2019-12-31,$77.21B,$17.29B,4.47
2019-09-30,$78.15B,$17.19B,4.55
2019-06-30,$73.78B,$17.15B,4.3
2019-03-31,$76.73B,$17.13B,4.48
2018-12-31,$75.56B,$17.23B,4.39
2018-09-30,$70.39B,$16.85B,4.18
2018-06-30,$66.01B,$16.84B,3.92
2018-03-31,$65.06B,$17.01B,3.83
2017-12-31,$61.28B,$16.99B,3.61
2017-09-30,$63.10B,$16.02B,3.94
2017-06-30,$64.39B,$15.93B,4.04
2017-03-31,$63.68B,$15.79B,4.03
2016-12-31,$66.25B,$15.75B,4.21
2016-09-30,$60.75B,$15.54B,3.91
2016-06-30,$59.89B,$15.33B,3.91
2016-03-31,$64.08B,$15.08B,4.25
2015-12-31,$63.15B,$14.84B,4.26
2015-09-30,$53.49B,$12.37B,4.32
2015-06-30,$50.66B,$12.44B,4.07
2015-03-31,$54.10B,$12.33B,4.39
2014-12-31,$55.86B,$12.39B,4.51
2014-09-30,$54.64B,$12.64B,4.32
2014-06-30,$55.20B,$13.28B,4.16
2014-03-31,$52.98B,$12.95B,4.09
2013-12-31,$52.04B,$12.38B,4.2
2013-09-30,$44.81B,$4.07B,11.01
2013-06-30,$36.74B,$3.88B,9.47
2013-03-31,$35.11B,$3.75B,9.37
2012-12-31,$33.54B,$3.68B,9.12
2012-09-30,$33.93B,$3.61B,9.41
2012-06-30,$36.10B,$3.41B,10.59
2012-03-31,$32.72B,$3.41B,9.6
2011-12-31,$32.99B,$3.16B,10.43
2011-09-30,$35.66B,$3.01B,11.84
2011-06-30,$27.95B,$3.09B,9.06
2011-03-31,$25.65B,$2.97B,8.63
2010-12-31,$23.83B,$2.82B,8.46
2010-09-30,$25.50B,$2.72B,9.37
2010-06-30,$24.78B,$2.67B,9.27
2010-03-31,$21.27B,$2.55B,8.36
2009-12-31,$19.45B,$2.43B,7.99
2009-09-30,$17.22B,$2.34B,7.37
2009-06-30,$18.63B,$2.23B,8.35
2009-03-31,$13.50B,$2.13B,6.35
2008-12-31,$12.95B,$2.01B,6.44
2008-09-30,$2.21B,$1.96B,1.13
2008-06-30,$1.30B,$1.70B,0.76
2008-03-31,$1.46B,$1.59B,0.92
2007-12-31,$1.32B,$1.48B,0.89
2007-09-30,$1.30B,$1.39B,0.94
2007-06-30,$1.24B,$1.31B,0.95
2007-03-31,$1.06B,$1.24B,0.85
2006-12-31,$0.04B,$0.45B,0.09
2006-09-30,$0.04B,$0.38B,0.11
2006-06-30,$0.03B,$0.32B,0.11
2006-03-31,$0.04B,$0.26B,0.14
2005-12-31,$0.03B,$0.23B,0.14
2005-09-30,$0.00B,,0.0
2005-06-30,$0.00B,,0.0
2005-03-31,$0.00B,,0.0
