American Equity Investment Life Holding ROA - Return on Assets Historical Data,American Equity Investment Life Holding ROA - Return on Assets Historical Data,American Equity Investment Life Holding ROA - Return on Assets Historical Data,American Equity Investment Life Holding ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.64B,$71.39B,0.93%
2020-09-30,$0.86B,$68.67B,1.27%
2020-06-30,$0.24B,$68.61B,0.35%
2020-03-31,$0.51B,$65.55B,0.76%
2019-12-31,$0.25B,$69.70B,0.37%
2019-09-30,$0.08B,$68.33B,0.12%
2019-06-30,$0.21B,$66.37B,0.33%
2019-03-31,$0.29B,$64.48B,0.46%
2018-12-31,$0.46B,$61.63B,0.74%
2018-09-30,$0.44B,$63.45B,0.71%
2018-06-30,$0.33B,$61.63B,0.54%
2018-03-31,$0.26B,$61.30B,0.43%
2017-12-31,$0.18B,$62.03B,0.29%
2017-09-30,$0.26B,$60.38B,0.44%
2017-06-30,$0.20B,$59.64B,0.34%
2017-03-31,$0.18B,$57.55B,0.33%
2016-12-31,$0.08B,$56.05B,0.15%
2016-09-30,$-0.00B,$55.85B,-0.01%
2016-06-30,$0.10B,$53.72B,0.20%
2016-03-31,$0.17B,$51.26B,0.35%
2015-12-31,$0.22B,$49.03B,0.47%
2015-09-30,$0.22B,$47.13B,0.47%
2015-06-30,$0.19B,$46.25B,0.42%
2015-03-31,$0.14B,$45.39B,0.33%
2014-12-31,$0.13B,$43.99B,0.30%
2014-09-30,$0.15B,$42.95B,0.35%
2014-06-30,$0.13B,$42.00B,0.33%
2014-03-31,$0.22B,$40.55B,0.56%
2013-12-31,$0.25B,$39.62B,0.66%
2013-09-30,$0.24B,$38.71B,0.64%
2013-06-30,$0.17B,$37.29B,0.48%
2013-03-31,$0.07B,$36.85B,0.21%
2012-12-31,$0.06B,$35.13B,0.17%
2012-09-30,$0.07B,$34.60B,0.22%
2012-06-30,$0.07B,$33.13B,0.21%
2012-03-31,$0.07B,$33.04B,0.21%
2011-12-31,$0.09B,$30.88B,0.29%
2011-09-30,$0.05B,$29.88B,0.16%
2011-06-30,$0.08B,$28.57B,0.29%
2011-03-31,$0.06B,$27.84B,0.23%
2010-12-31,$0.04B,$26.43B,0.18%
2010-09-30,$0.07B,$24.57B,0.30%
2010-06-30,$0.05B,$23.42B,0.21%
2010-03-31,$0.06B,$22.51B,0.27%
2009-12-31,$0.07B,$21.31B,0.34%
2009-09-30,$0.01B,$21.30B,0.04%
2009-06-30,$-0.00B,$18.87B,-0.01%
2009-03-31,$-0.01B,$17.51B,-0.03%
2008-12-31,$0.02B,$17.08B,0.09%
2008-09-30,$0.03B,$17.14B,0.19%
2008-06-30,$0.05B,$17.05B,0.28%
2008-03-31,$0.06B,$16.56B,0.39%
2007-12-31,$0.03B,$16.39B,0.16%
2007-09-30,$0.05B,$16.16B,0.34%
2007-06-30,$0.06B,$15.80B,0.39%
2007-03-31,$0.08B,$15.10B,0.54%
2006-12-31,$0.08B,$14.99B,0.50%
2006-09-30,$0.07B,$15.01B,0.46%
2006-06-30,$0.07B,$14.78B,0.46%
2006-03-31,$0.03B,$14.66B,0.25%
2005-12-31,$0.04B,$14.04B,0.33%
