ProAssurance Debt/Equity Ratio Historical Data,ProAssurance Debt/Equity Ratio Historical Data,ProAssurance Debt/Equity Ratio Historical Data,ProAssurance Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$3.31B,$1.35B,2.45
2020-09-30,$3.36B,$1.33B,2.53
2020-06-30,$3.31B,$1.47B,2.24
2020-03-31,$3.30B,$1.43B,2.31
2019-12-31,$3.29B,$1.51B,2.18
2019-09-30,$3.24B,$1.59B,2.04
2019-06-30,$3.21B,$1.58B,2.03
2019-03-31,$3.16B,$1.56B,2.02
2018-12-31,$3.08B,$1.52B,2.02
2018-09-30,$3.07B,$1.59B,1.93
2018-06-30,$3.01B,$1.58B,1.91
2018-03-31,$3.11B,$1.57B,1.98
2017-12-31,$3.33B,$1.60B,2.09
2017-09-30,$3.07B,$1.85B,1.66
2017-06-30,$3.02B,$1.84B,1.65
2017-03-31,$3.05B,$1.83B,1.67
2016-12-31,$3.27B,$1.80B,1.82
2016-09-30,$2.97B,$2.04B,1.46
2016-06-30,$2.95B,$2.03B,1.45
2016-03-31,$2.91B,$1.99B,1.47
2015-12-31,$2.95B,$1.96B,1.51
2015-09-30,$2.96B,$2.01B,1.47
2015-06-30,$2.94B,$2.06B,1.43
2015-03-31,$2.99B,$2.13B,1.4
2014-12-31,$3.01B,$2.16B,1.4
2014-09-30,$3.01B,$2.32B,1.29
2014-06-30,$3.04B,$2.36B,1.29
2014-03-31,$3.05B,$2.35B,1.3
2013-12-31,$2.76B,$2.39B,1.15
2013-09-30,$2.59B,$2.37B,1.09
2013-06-30,$2.78B,$2.34B,1.19
2013-03-31,$2.86B,$2.36B,1.21
2012-12-31,$2.61B,$2.27B,1.15
2012-09-30,$2.62B,$2.35B,1.12
2012-06-30,$2.72B,$2.28B,1.19
2012-03-31,$2.82B,$2.22B,1.27
2011-12-31,$2.83B,$2.16B,1.31
2011-09-30,$2.97B,$2.02B,1.47
2011-06-30,$2.96B,$1.97B,1.51
2011-03-31,$3.02B,$1.89B,1.6
2010-12-31,$3.02B,$1.86B,1.63
2010-09-30,$2.95B,$1.82B,1.62
2010-06-30,$2.95B,$1.79B,1.64
2010-03-31,$2.95B,$1.76B,1.68
2009-12-31,$2.94B,$1.71B,1.73
2009-09-30,$3.02B,$1.65B,1.83
2009-06-30,$3.07B,$1.53B,2.01
2009-03-31,$2.86B,$1.46B,1.96
2008-12-31,$2.86B,$1.42B,2.01
2008-09-30,$3.01B,$1.33B,2.26
2008-06-30,$3.12B,$1.26B,2.49
2008-03-31,$3.20B,$1.28B,2.51
2007-12-31,$3.19B,$1.26B,2.54
2007-09-30,$3.24B,$1.20B,2.7
2007-06-30,$3.24B,$1.15B,2.81
2007-03-31,$3.29B,$1.16B,2.83
2006-12-31,$3.22B,$1.12B,2.88
2006-09-30,$3.25B,$1.08B,3.0
2006-06-30,$2.89B,$0.91B,3.18
2006-03-31,$2.96B,$0.89B,3.32
2005-12-31,$3.14B,$0.77B,4.11
2005-09-30,$3.10B,$0.74B,4.19
2005-06-30,$2.75B,$0.66B,4.15
2005-03-31,$2.73B,$0.61B,4.46
