Arthur J Gallagher Debt/Equity Ratio Historical Data,Arthur J Gallagher Debt/Equity Ratio Historical Data,Arthur J Gallagher Debt/Equity Ratio Historical Data,Arthur J Gallagher Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$16.10B,$6.23B,2.58
2020-09-30,$16.00B,$5.82B,2.75
2020-06-30,$15.77B,$5.54B,2.85
2020-03-31,$15.77B,$5.07B,3.11
2019-12-31,$14.42B,$5.22B,2.77
2019-09-30,$14.26B,$4.91B,2.9
2019-06-30,$14.25B,$4.95B,2.88
2019-03-31,$13.67B,$4.96B,2.76
2018-12-31,$11.76B,$4.57B,2.57
2018-09-30,$11.50B,$4.61B,2.49
2018-06-30,$11.72B,$4.51B,2.6
2018-03-31,$11.54B,$4.59B,2.52
2017-12-31,$10.61B,$4.30B,2.47
2017-09-30,$8.64B,$4.17B,2.07
2017-06-30,$8.66B,$3.91B,2.22
2017-03-31,$8.05B,$3.73B,2.16
2016-12-31,$7.83B,$3.66B,2.14
2016-09-30,$7.46B,$3.74B,1.99
2016-06-30,$7.73B,$3.66B,2.11
2016-03-31,$7.06B,$3.65B,1.93
2015-12-31,$7.22B,$3.69B,1.96
2015-09-30,$6.80B,$3.71B,1.84
2015-06-30,$7.01B,$3.71B,1.89
2015-03-31,$6.51B,$3.22B,2.02
2014-12-31,$6.71B,$3.31B,2.03
2014-09-30,$6.73B,$3.26B,2.07
2014-06-30,$6.77B,$3.25B,2.08
2014-03-31,$5.13B,$2.14B,2.39
2013-12-31,$4.78B,$2.09B,2.29
2013-09-30,$4.04B,$1.93B,2.09
2013-06-30,$3.86B,$1.70B,2.27
2013-03-31,$3.56B,$1.67B,2.14
2012-12-31,$3.69B,$1.66B,2.23
2012-09-30,$3.37B,$1.64B,2.06
2012-06-30,$3.66B,$1.47B,2.49
2012-03-31,$3.25B,$1.36B,2.39
2011-12-31,$3.24B,$1.24B,2.61
2011-09-30,$3.03B,$1.22B,2.48
2011-06-30,$3.38B,$1.20B,2.81
2011-03-31,$2.54B,$1.15B,2.22
2010-12-31,$2.49B,$1.11B,2.25
2010-09-30,$2.45B,$1.01B,2.42
2010-06-30,$2.59B,$0.97B,2.68
2010-03-31,$2.32B,$0.92B,2.53
2009-12-31,$2.36B,$0.89B,2.64
2009-09-30,$2.37B,$0.87B,2.73
2009-06-30,$2.81B,$0.84B,3.35
2009-03-31,$2.31B,$0.80B,2.9
2008-12-31,$2.53B,$0.74B,3.43
2008-09-30,$2.42B,$0.78B,3.13
2008-06-30,$2.78B,$0.73B,3.83
2008-03-31,$2.64B,$0.70B,3.78
2007-12-31,$2.84B,$0.72B,3.97
2007-09-30,$2.80B,$0.77B,3.64
2007-06-30,$2.92B,$0.78B,3.73
2007-03-31,$2.52B,$0.87B,2.91
2006-12-31,$2.56B,$0.86B,2.96
2006-09-30,$2.57B,$0.85B,3.04
2006-06-30,$2.84B,$0.80B,3.54
2006-03-31,$2.36B,$0.78B,3.03
2005-12-31,$2.62B,$0.77B,3.41
2005-09-30,$2.60B,$0.79B,3.32
2005-06-30,$2.70B,$0.74B,3.64
2005-03-31,$2.55B,$0.68B,3.73
