Date,Shares
2020-12-31,90.0
2020-09-30,93.0
2020-06-30,95.0
2020-03-31,105.0
2019-12-31,113.0
2019-09-30,112.0
2019-06-30,116.0
2019-03-31,117.0
2018-12-31,120.0
2018-09-30,120.0
2018-06-30,120.0
2018-03-31,120.0
2017-12-31,120.0
2017-09-30,120.0
2017-06-30,120.0
2017-03-31,120.0
2016-12-31,
2016-09-30,120.0
2016-06-30,120.0
2015-12-31,
