Date,EBIT
2020-12-31,$166
2020-09-30,$97
2020-06-30,$119
2020-03-31,$-69
2019-12-31,$75
2019-09-30,$71
2019-06-30,$49
2019-03-31,$108
2018-12-31,$32
2018-09-30,$14
2018-06-30,$-17
2018-03-31,$60
2017-12-31,$64
2017-09-30,$34
2017-06-30,$124
2017-03-31,$-247
2016-12-31,$114
2016-09-30,$52
2016-06-30,$66
2016-03-31,$6
2015-12-31,$-26
2015-09-30,$7
2015-06-30,$29
2015-03-31,$35
2014-12-31,$-50
2014-09-30,$-28
2014-06-30,$-127
2014-03-31,$-51
2013-12-31,
2013-09-30,$-101
2013-06-30,$-20
2012-12-31,
2011-12-31,
