Jefferies Financial Group Debt/Equity Ratio Historical Data,Jefferies Financial Group Debt/Equity Ratio Historical Data,Jefferies Financial Group Debt/Equity Ratio Historical Data,Jefferies Financial Group Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-11-30,$43.68B,$9.44B,4.63
2020-08-31,$42.33B,$9.44B,4.48
2020-05-31,$40.92B,$9.36B,4.37
2020-02-29,$42.39B,$9.39B,4.52
2019-11-30,$39.86B,$9.60B,4.15
2019-08-31,$39.22B,$10.05B,3.9
2019-05-31,$38.65B,$9.88B,3.91
2019-02-28,$39.00B,$9.96B,3.92
2018-11-30,$37.05B,$10.08B,3.68
2018-09-30,$38.30B,$10.65B,3.6
2018-06-30,$38.83B,$10.57B,3.68
2018-05-31,$0.00B,,0.0
2018-03-31,$38.71B,$10.29B,3.76
2018-02-28,$0.00B,,0.0
2017-12-31,$37.03B,$10.14B,3.65
2017-11-30,$0.00B,,0.0
2017-09-30,$37.03B,$10.64B,3.48
2017-06-30,$37.70B,$10.68B,3.53
2017-03-31,$35.39B,$10.59B,3.34
2016-12-31,$34.77B,$10.30B,3.37
2016-09-30,$35.87B,$10.24B,3.5
2016-06-30,$34.78B,$10.27B,3.39
2016-03-31,$32.89B,$10.25B,3.21
2015-12-31,$35.87B,$10.47B,3.43
2015-09-30,$40.09B,$10.43B,3.85
2015-06-30,$41.83B,$10.72B,3.9
2015-03-31,$41.60B,$10.72B,3.88
2014-12-31,$42.25B,$10.37B,4.08
2014-09-30,$42.28B,$10.45B,4.05
2014-06-30,$41.04B,$10.36B,3.96
2014-03-31,$40.94B,$10.19B,4.02
2013-12-31,$37.69B,$10.17B,3.71
2013-09-30,$35.41B,$10.13B,3.5
2013-06-30,$36.15B,$10.03B,3.6
2013-03-31,$36.95B,$10.40B,3.55
2012-12-31,$2.58B,$6.77B,0.38
2012-09-30,$2.55B,$6.19B,0.41
2012-06-30,$2.51B,$6.10B,0.41
2012-03-31,$2.56B,$6.43B,0.4
2011-12-31,$3.09B,$6.18B,0.5
2011-09-30,$2.19B,$6.03B,0.36
2011-06-30,$2.39B,$6.81B,0.35
2011-03-31,$2.32B,$6.91B,0.34
2010-12-31,$2.39B,$6.96B,0.34
2010-09-30,$2.52B,$4.79B,0.53
2010-06-30,$2.45B,$3.99B,0.61
2010-03-31,$2.41B,$4.58B,0.53
2009-12-31,$2.39B,$4.37B,0.55
2009-09-30,$2.36B,$4.27B,0.55
2009-06-30,$2.35B,$3.70B,0.63
2009-03-31,$2.45B,$2.67B,0.92
2008-12-31,$2.50B,$2.70B,0.93
2008-09-30,$2.58B,$5.83B,0.44
2008-06-30,$2.66B,$7.01B,0.38
2008-03-31,$2.58B,$5.35B,0.48
2007-12-31,$2.56B,$5.57B,0.46
2007-09-30,$2.58B,$4.74B,0.54
2007-06-30,$2.14B,$4.24B,0.51
2007-03-31,$2.01B,$4.02B,0.5
2006-12-31,$1.41B,$3.89B,0.36
2006-09-30,$1.40B,$3.83B,0.37
2006-06-30,$1.75B,$3.79B,0.46
2006-03-31,$1.62B,$3.76B,0.43
2005-12-31,$1.60B,$3.66B,0.44
2005-09-30,$2.52B,$3.54B,0.71
2005-06-30,$2.53B,$3.49B,0.72
2005-03-31,$2.52B,$2.24B,1.12
