BLK,2020-09-30,"$1,874"
BLK,2020-06-30,"$1,520"
BLK,2020-03-31,$795
BLK,2019-12-31,"$1,540"
BLK,2019-09-30,"$1,607"
BLK,2019-06-30,"$1,378"
BLK,2019-03-31,"$1,322"
BLK,2018-12-31,"$1,302"
BLK,2018-09-30,"$1,453"
BLK,2018-06-30,"$1,494"
BLK,2018-03-31,"$1,428"
BLK,2017-12-31,"$1,535"
BLK,2017-09-30,"$1,454"
BLK,2017-06-30,"$1,299"
BLK,2017-03-31,"$1,206"
BLK,2016-12-31,"$1,285"
BLK,2016-09-30,"$1,274"
BLK,2016-06-30,"$1,240"
BLK,2016-03-31,"$1,029"
BLK,2015-12-31,"$1,199"
BLK,2015-09-30,"$1,302"
BLK,2015-06-30,"$1,315"
BLK,2015-03-31,"$1,143"
BLK,2014-12-31,"$1,220"
BLK,2014-09-30,"$1,241"
BLK,2014-06-30,"$1,208"
BLK,2014-03-31,"$1,139"
BLK,2013-12-31,"$1,223"
BLK,2013-09-30,"$1,051"
BLK,2013-06-30,$933
BLK,2013-03-31,$993
BLK,2012-12-31,"$1,093"
BLK,2012-09-30,$962
BLK,2012-06-30,$915
BLK,2012-03-31,$904
BLK,2011-12-31,$903
BLK,2011-09-30,$873
BLK,2011-06-30,$960
BLK,2011-03-31,$893
BLK,2010-12-31,"$1,042"
BLK,2010-09-30,$807
BLK,2010-06-30,$803
BLK,2010-03-31,$758
BLK,2009-12-31,$477
BLK,2009-09-30,$440
BLK,2009-06-30,$345
BLK,2009-03-31,$355
BLK,2008-12-31,$429
BLK,2008-09-30,$549
BLK,2008-06-30,$496
BLK,2008-03-31,$485
BLK,2007-12-31,$556
BLK,2007-09-30,$349
BLK,2007-06-30,$359
BLK,2007-03-31,$340
BLK,2006-12-31,$315
BLK,2006-09-30,$39
BLK,2006-06-30,$109
BLK,2006-03-31,$112
BLK,2005-12-31,$121
BLK,2005-09-30,$91
BLK,2005-06-30,$93
BLK,2005-03-31,$76
CME,2020-12-31,$636
CME,2020-09-30,$643
CME,2020-06-30,$751
CME,2020-03-31,"$1,073"
CME,2019-12-31,$689
CME,2019-09-30,$806
CME,2019-06-30,$821
CME,2019-03-31,$745
CME,2018-12-31,$742
CME,2018-09-30,$604
CME,2018-06-30,$718
CME,2018-03-31,$793
CME,2017-12-31,$589
CME,2017-09-30,$618
CME,2017-06-30,$658
CME,2017-03-31,$654
CME,2016-12-31,$596
CME,2016-09-30,$581
