Date,Price,Open,High,Low,Vol.,Change %,r
8-Feb-21,"8,657.90","8,578.44","8,658.09","8,578.44",-,0.93%,0.0092
5-Feb-21,"8,578.44","8,550.66","8,612.75","8,550.58",-,0.32%,0.0032
4-Feb-21,"8,550.66","8,396.88","8,552.68","8,396.88",-,1.83%,0.0180
3-Feb-21,"8,396.88","8,367.71","8,404.47","8,342.56",-,0.35%,0.0035
2-Feb-21,"8,367.71","8,206.87","8,395.22","8,206.87",-,1.96%,0.0192
1-Feb-21,"8,206.87","8,072.62","8,216.51","8,072.62",-,1.66%,0.0164
29-Jan-21,"8,072.62","8,232.76","8,232.76","8,032.69",-,-1.95%,-0.0198
28-Jan-21,"8,232.76","8,101.79","8,301.25","8,101.79",-,1.62%,0.0159
27-Jan-21,"8,101.79","8,343.17","8,343.17","8,081.09",-,-2.89%,-0.0298
26-Jan-21,"8,343.17","8,369.21","8,408.52","8,337.74",-,-0.31%,-0.0031
25-Jan-21,"8,369.21","8,416.18","8,416.18","8,273.20",-,-0.56%,-0.0056
22-Jan-21,"8,416.18","8,483.12","8,483.12","8,385.56",-,-0.79%,-0.0080
21-Jan-21,"8,483.12","8,541.52","8,541.52","8,470.65",-,-0.68%,-0.0069
20-Jan-21,"8,541.52","8,498.43","8,550.03","8,490.12",-,0.51%,0.0050
19-Jan-21,"8,498.43","8,481.85","8,535.52","8,465.76",-,0.20%,0.0020
15-Jan-21,"8,481.85","8,585.18","8,585.18","8,423.57",-,-1.20%,-0.0122
14-Jan-21,"8,585.18","8,565.86","8,628.87","8,565.86",-,0.23%,0.0023
13-Jan-21,"8,565.86","8,565.41","8,587.23","8,518.24",-,0.01%,0.0001
12-Jan-21,"8,565.41","8,498.91","8,576.16","8,498.91",-,0.78%,0.0078
11-Jan-21,"8,498.91","8,523.95","8,523.95","8,421.01",-,-0.29%,-0.0029
8-Jan-21,"8,523.95","8,513.04","8,535.13","8,429.45",-,0.13%,0.0013
7-Jan-21,"8,513.04","8,433.53","8,560.79","8,433.53",-,0.94%,0.0093
6-Jan-21,"8,433.53","8,187.25","8,499.42","8,187.25",-,3.01%,0.0292
5-Jan-21,"8,187.25","8,149.52","8,222.20","8,127.43",-,0.46%,0.0046
4-Jan-21,"8,149.52","8,292.85","8,319.49","8,101.87",-,-1.73%,-0.0176
31-Dec-20,"8,292.85","8,232.27","8,299.36","8,203.34",-,0.74%,0.0073
30-Dec-20,"8,232.27","8,186.43","8,262.71","8,186.43",-,0.56%,0.0056
29-Dec-20,"8,186.43","8,209.62","8,257.97","8,184.78",-,-0.28%,-0.0028
28-Dec-20,"8,209.62","8,159.44","8,246.37","8,159.44",-,0.61%,0.0061
24-Dec-20,"8,159.44","8,129.81","8,162.75","8,110.70",-,0.36%,0.0036
23-Dec-20,"8,129.81","8,037.50","8,165.88","8,037.50",-,1.15%,0.0114
22-Dec-20,"8,037.50","8,081.12","8,083.07","8,033.68",-,-0.54%,-0.0054
21-Dec-20,"8,081.12","8,078.96","8,106.51","7,960.62",-,0.03%,0.0003
18-Dec-20,"8,078.96","8,150.75","8,153.55","8,034.21",-,-0.88%,-0.0089
17-Dec-20,"8,150.75","8,112.27","8,155.12","8,112.27",-,0.47%,0.0047
16-Dec-20,"8,112.27","8,108.28","8,123.05","8,080.07",-,0.05%,0.0005
15-Dec-20,"8,108.28","7,986.14","8,116.81","7,986.14",-,1.53%,0.0151
14-Dec-20,"7,986.14","8,036.42","8,126.23","7,984.60",-,-0.63%,-0.0063
11-Dec-20,"8,036.42","8,102.76","8,102.76","7,978.99",-,-0.82%,-0.0083
10-Dec-20,"8,102.76","8,106.09","8,113.76","8,033.26",-,-0.04%,-0.0004
9-Dec-20,"8,106.09","8,121.75","8,165.68","8,065.69",-,-0.19%,-0.0019
8-Dec-20,"8,121.75","8,127.00","8,139.84","8,076.50",-,-0.06%,-0.0006
7-Dec-20,"8,127.00","8,194.18","8,194.18","8,100.93",-,-0.82%,-0.0083
4-Dec-20,"8,194.18","8,078.60","8,194.24","8,078.60",-,1.43%,0.0141
3-Dec-20,"8,078.60","8,073.88","8,121.74","8,054.58",-,0.06%,0.0006
2-Dec-20,"8,073.88","8,025.69","8,080.67","7,989.00",-,0.60%,0.0060
1-Dec-20,"8,025.69","7,887.93","8,068.39","7,887.93",-,1.75%,0.0172
30-Nov-20,"7,887.93","8,031.30","8,031.30","7,877.53",-,-1.79%,-0.0182
27-Nov-20,"8,031.30","8,060.04","8,064.35","8,014.22",-,-0.36%,-0.0036
25-Nov-20,"8,060.04","8,099.79","8,099.79","7,996.45",-,-0.49%,-0.0049
24-Nov-20,"8,099.79","7,873.13","8,115.14","7,873.13",-,2.88%,0.0280
23-Nov-20,"7,873.13","7,756.62","7,903.07","7,756.62",-,1.50%,0.0148
20-Nov-20,"7,756.62","7,817.48","7,817.48","7,743.82",-,-0.78%,-0.0078
19-Nov-20,"7,817.48","7,799.42","7,821.89","7,717.59",-,0.23%,0.0023
18-Nov-20,"7,799.42","7,879.43","7,947.97","7,799.20",-,-1.02%,-0.0103
17-Nov-20,"7,879.43","7,877.29","7,897.95","7,770.00",-,0.03%,0.0003
16-Nov-20,"7,877.29","7,713.79","7,896.59","7,713.79",-,2.12%,0.0208
13-Nov-20,"7,713.79","7,571.83","7,735.30","7,571.83",-,1.87%,0.0184
12-Nov-20,"7,571.83","7,701.68","7,701.68","7,520.76",-,-1.69%,-0.0171
11-Nov-20,"7,701.68","7,722.93","7,752.07","7,663.13",-,-0.28%,-0.0028
10-Nov-20,"7,722.93","7,645.28","7,733.10","7,634.81",-,1.02%,0.0101
9-Nov-20,"7,645.28","7,137.31","7,760.38","7,137.31",-,7.12%,0.0664
6-Nov-20,"7,137.31","7,172.26","7,202.06","7,119.75",-,-0.49%,-0.0049
5-Nov-20,"7,172.26","7,031.19","7,208.57","7,031.19",-,2.01%,0.0197
4-Nov-20,"7,031.19","7,058.55","7,128.49","6,946.57",-,-0.39%,-0.0039
3-Nov-20,"7,058.55","6,895.99","7,092.55","6,895.99",-,2.36%,0.0230
2-Nov-20,"6,895.99","6,761.94","6,913.60","6,761.94",-,1.98%,0.0194
30-Oct-20,"6,761.94","6,775.59","6,780.40","6,678.96",-,-0.20%,-0.0020
29-Oct-20,"6,775.59","6,702.56","6,806.50","6,627.98",-,1.09%,0.0108
28-Oct-20,"6,702.56","6,909.76","6,909.76","6,693.51",-,-3.00%,-0.0309
27-Oct-20,"6,909.76","7,031.11","7,031.11","6,909.63",-,-1.73%,-0.0176
26-Oct-20,"7,031.11","7,176.62","7,176.62","6,967.78",-,-2.03%,-0.0207
23-Oct-20,"7,176.62","7,148.74","7,203.85","7,128.73",-,0.39%,0.0039
22-Oct-20,"7,148.74","7,054.31","7,158.58","7,054.31",-,1.34%,0.0132
21-Oct-20,"7,054.31","7,060.14","7,097.92","7,047.52",-,-0.08%,-0.0008
20-Oct-20,"7,060.14","7,002.43","7,125.89","7,002.43",-,0.82%,0.0082
19-Oct-20,"7,002.43","7,091.46","7,120.74","6,995.20",-,-1.26%,-0.0127
16-Oct-20,"7,091.46","7,086.13","7,132.28","7,073.30",-,0.08%,0.0008
15-Oct-20,"7,086.13","7,063.78","7,092.83","6,982.80",-,0.32%,0.0032
14-Oct-20,"7,063.78","7,131.42","7,152.80","7,061.39",-,-0.95%,-0.0096
13-Oct-20,"7,131.42","7,260.57","7,260.57","7,112.16",-,-1.78%,-0.0181
12-Oct-20,"7,260.57","7,208.45","7,275.52","7,202.58",-,0.72%,0.0072
9-Oct-20,"7,208.45","7,195.32","7,240.59","7,166.05",-,0.18%,0.0018
8-Oct-20,"7,195.32","7,100.63","7,200.88","7,100.63",-,1.33%,0.0132
7-Oct-20,"7,100.63","7,012.02","7,121.04","7,012.02",-,1.26%,0.0125
6-Oct-20,"7,012.02","7,065.62","7,165.16","6,999.21",-,-0.76%,-0.0076
5-Oct-20,"7,065.62","6,970.38","7,070.37","6,970.38",-,1.37%,0.0135
2-Oct-20,"6,970.38","6,919.89","6,998.82","6,821.60",-,0.73%,0.0072
1-Oct-20,"6,919.89","6,860.62","6,941.77","6,855.77",-,0.86%,0.0086
30-Sep-20,"6,860.62","6,812.77","6,912.25","6,811.44",-,0.70%,0.0070
29-Sep-20,"6,812.77","6,891.30","6,891.30","6,783.57",-,-1.14%,-0.0115
28-Sep-20,"6,891.30","6,732.66","6,929.18","6,732.66",-,2.36%,0.0230
25-Sep-20,"6,732.66","6,618.09","6,744.07","6,611.88",-,1.07%,0.0105
24-Sep-20,"6,661.66","6,637.21","6,740.90","6,575.16",-,0.39%,0.0039
23-Sep-20,"6,635.99","6,803.25","6,831.61","6,634.49",-,-2.22%,-0.0228
22-Sep-20,"6,786.96","6,793.16","6,850.08","6,739.00",-,-0.08%,-0.0008
21-Sep-20,"6,792.11","6,846.66","6,993.23","6,722.53",-,-2.88%,-0.0296
18-Sep-20,"6,993.23","7,043.79","7,066.07","6,980.14",-,-1.02%,-0.0103
17-Sep-20,"7,065.05","7,050.54","7,098.54","7,022.67",-,-0.93%,-0.0094
16-Sep-20,"7,131.69","7,099.88","7,206.40","7,089.53",-,0.64%,0.0064
15-Sep-20,"7,086.24","7,150.64","7,158.80","7,078.14",-,-0.52%,-0.0053
14-Sep-20,"7,123.54","7,070.24","7,161.41","7,065.76",-,1.49%,0.0147
11-Sep-20,"7,018.85","7,015.05","7,043.98","6,967.40",-,0.29%,0.0029
10-Sep-20,"6,998.69","7,114.82","7,149.44","6,989.90",-,-1.40%,-0.0142
9-Sep-20,"7,097.90","7,077.19","7,138.76","7,059.70",-,1.13%,0.0111
8-Sep-20,"7,018.79","7,103.98","7,103.98","7,003.66",-,-2.27%,-0.0232
4-Sep-20,"7,181.76","7,236.94","7,265.53","7,070.36",-,0.27%,0.0027
3-Sep-20,"7,162.46","7,308.76","7,365.86","7,123.71",-,-1.73%,-0.0176
2-Sep-20,"7,288.47","7,188.51","7,300.48","7,177.83",-,1.35%,0.0133
1-Sep-20,"7,191.56","7,154.14","7,206.81","7,125.91",-,0.14%,0.0014
31-Aug-20,"7,181.16","7,264.79","7,264.79","7,179.81",-,-1.45%,-0.0147
28-Aug-20,"7,286.52","7,264.13","7,288.64","7,217.02",-,0.96%,0.0095
27-Aug-20,"7,217.16","7,139.58","7,240.18","7,139.58",-,1.20%,0.0118
26-Aug-20,"7,131.80","7,142.28","7,146.86","7,111.25",-,-0.26%,-0.0026
25-Aug-20,"7,150.12","7,167.00","7,181.97","7,105.71",-,0.42%,0.0042
24-Aug-20,"7,120.07","7,020.62","7,120.42","7,006.87",-,1.92%,0.0189
21-Aug-20,"6,985.62","6,982.97","7,013.18","6,959.77",-,-0.21%,-0.0021
20-Aug-20,"7,000.38","6,953.01","7,014.55","6,946.54",-,-0.28%,-0.0028
19-Aug-20,"7,019.93","7,054.79","7,093.85","7,010.40",-,-0.32%,-0.0032
18-Aug-20,"7,042.55","7,081.06","7,084.55","7,026.05",-,-0.51%,-0.0051
17-Aug-20,"7,078.33","7,116.25","7,118.11","7,068.84",-,-0.62%,-0.0063
14-Aug-20,"7,122.78","7,083.01","7,162.23","7,079.29",-,-0.01%,-0.0001
13-Aug-20,"7,123.66","7,123.45","7,183.65","7,106.83",-,-0.89%,-0.0089
12-Aug-20,"7,187.29","7,261.35","7,270.99","7,148.72",-,0.28%,0.0028
11-Aug-20,"7,167.22","7,219.36","7,275.16","7,164.17",-,0.90%,0.0089
10-Aug-20,"7,103.18","7,079.93","7,123.75","7,079.93",-,0.68%,0.0067
7-Aug-20,"7,055.55","6,919.38","7,055.80","6,913.25",-,1.29%,0.0128
6-Aug-20,"6,965.46","6,932.27","6,975.66","6,926.42",-,0.14%,0.0014
5-Aug-20,"6,955.75","6,929.36","6,962.59","6,929.36",-,1.20%,0.0118
4-Aug-20,"6,873.36","6,851.74","6,884.19","6,839.69",-,0.32%,0.0032
3-Aug-20,"6,851.38","6,857.06","6,880.27","6,819.76",-,0.03%,0.0003
31-Jul-20,"6,849.26","6,875.75","6,875.75","6,776.85",-,-0.58%,-0.0058
30-Jul-20,"6,889.13","6,860.06","6,891.39","6,801.39",-,-1.70%,-0.0173
29-Jul-20,"7,008.15","6,888.03","7,008.15","6,888.03",-,1.72%,0.0169
28-Jul-20,"6,889.77","6,865.27","6,924.63","6,852.20",-,0.11%,0.0011
27-Jul-20,"6,882.06","6,866.90","6,885.63","6,808.05",-,-0.18%,-0.0018
24-Jul-20,"6,894.46","6,931.21","6,941.23","6,883.94",-,-0.67%,-0.0067
23-Jul-20,"6,940.94","6,943.57","6,985.58","6,903.77",-,-0.29%,-0.0029
22-Jul-20,"6,961.27","6,905.50","6,965.95","6,905.15",-,0.29%,0.0029
21-Jul-20,"6,941.36","6,910.08","6,976.95","6,908.41",-,1.22%,0.0120
20-Jul-20,"6,857.83","6,846.77","6,887.32","6,828.74",-,-0.06%,-0.0006
17-Jul-20,"6,862.10","6,890.34","6,891.36","6,833.11",-,-0.20%,-0.0020
16-Jul-20,"6,875.64","6,854.51","6,927.28","6,842.03",-,-0.59%,-0.0059
15-Jul-20,"6,916.48","6,920.09","6,933.64","6,857.51",-,1.78%,0.0174
14-Jul-20,"6,795.85","6,715.89","6,800.11","6,675.70",-,0.96%,0.0095
13-Jul-20,"6,731.29","6,804.54","6,844.89","6,724.24",-,-0.34%,-0.0034
10-Jul-20,"6,754.34","6,609.66","6,757.88","6,608.13",-,2.25%,0.0220
9-Jul-20,"6,605.42","6,713.32","6,724.28","6,547.09",-,-1.85%,-0.0189
8-Jul-20,"6,730.06","6,684.38","6,747.85","6,653.89",-,0.68%,0.0068
7-Jul-20,"6,684.56","6,773.22","6,775.31","6,674.44",-,-2.26%,-0.0232
6-Jul-20,"6,839.44","6,864.80","6,893.53","6,812.83",-,1.60%,0.0157
2-Jul-20,"6,731.74","6,841.69","6,863.71","6,719.53",-,0.45%,0.0045
1-Jul-20,"6,701.70","6,726.66","6,773.02","6,675.15",-,-0.11%,-0.0011
30-Jun-20,"6,709.21","6,604.52","6,734.73","6,604.52",-,1.15%,0.0114
29-Jun-20,"6,632.69","6,600.24","6,650.59","6,547.57",-,1.39%,0.0137
26-Jun-20,"6,541.90","6,685.55","6,703.92","6,534.16",-,-3.44%,-0.0356
25-Jun-20,"6,774.71","6,608.08","6,776.20","6,603.84",-,2.14%,0.0210
24-Jun-20,"6,632.48","6,779.28","6,779.28","6,586.00",-,-3.39%,-0.0351
23-Jun-20,"6,865.09","6,922.87","6,953.38","6,860.80",-,0.52%,0.0052
22-Jun-20,"6,829.32","6,795.01","6,853.09","6,756.53",-,0.04%,0.0004
19-Jun-20,"6,826.56","6,991.51","6,991.51","6,781.22",-,-0.98%,-0.0099
18-Jun-20,"6,894.46","6,846.96","6,935.54","6,835.60",-,-0.24%,-0.0024
17-Jun-20,"6,911.30","7,012.22","7,012.86","6,905.41",-,-1.21%,-0.0123
16-Jun-20,"6,996.24","7,120.25","7,127.14","6,882.49",-,1.71%,0.0168
15-Jun-20,"6,878.64","6,604.54","6,910.72","6,594.45",-,0.69%,0.0068
12-Jun-20,"6,831.83","6,878.28","6,889.41","6,679.86",-,2.96%,0.0287
11-Jun-20,"6,635.49","7,170.27","7,170.27","6,626.75",-,-7.46%,-0.0806
10-Jun-20,"7,170.27","7,343.19","7,355.20","7,170.06",-,-2.77%,-0.0284
9-Jun-20,"7,374.26","7,346.14","7,427.20","7,319.42",-,-2.04%,-0.0208
8-Jun-20,"7,527.70","7,497.27","7,529.59","7,429.71",-,1.90%,0.0187
5-Jun-20,"7,387.08","7,461.84","7,488.46","7,358.70",-,4.00%,0.0385
4-Jun-20,"7,102.99","7,007.74","7,103.91","6,964.13",-,0.72%,0.0072
3-Jun-20,"7,052.17","6,942.29","7,071.94","6,942.29",-,3.50%,0.0338
2-Jun-20,"6,813.50","6,720.07","6,844.65","6,720.07",-,1.39%,0.0137
1-Jun-20,"6,720.07","6,636.50","6,746.12","6,618.10",-,1.62%,0.0160
29-May-20,"6,612.69","6,615.50","6,671.08","6,563.82",-,-1.31%,-0.0132
28-May-20,"6,700.19","6,829.10","6,829.10","6,683.40",-,-0.96%,-0.0097
27-May-20,"6,765.25","6,751.05","6,765.83","6,617.49",-,3.45%,0.0333
26-May-20,"6,539.87","6,471.34","6,588.72","6,471.34",-,4.87%,0.0465
22-May-20,"6,235.88","6,254.56","6,254.56","6,174.84",-,-0.30%,-0.0030
21-May-20,"6,254.56","6,262.32","6,316.09","6,218.99",-,-0.56%,-0.0056
20-May-20,"6,289.62","6,256.22","6,316.85","6,253.46",-,2.15%,0.0211
19-May-20,"6,157.18","6,247.17","6,276.73","6,157.18",-,-2.06%,-0.0210
18-May-20,"6,286.43","6,173.90","6,319.96","6,169.88",-,5.42%,0.0514
15-May-20,"5,963.20","5,953.87","5,988.32","5,894.21",-,-0.56%,-0.0056
14-May-20,"5,996.64","5,787.89","5,996.64","5,714.13",-,1.72%,0.0170
13-May-20,"5,894.96","6,037.42","6,040.50","5,856.62",-,-2.84%,-0.0292
12-May-20,"6,067.21","6,266.62","6,271.93","6,067.21",-,-2.85%,-0.0293
11-May-20,"6,244.98","6,264.26","6,298.98","6,209.18",-,-1.73%,-0.0176
8-May-20,"6,354.83","6,334.50","6,360.72","6,289.39",-,2.13%,0.0209
7-May-20,"6,222.26","6,112.46","6,313.55","6,112.46",-,1.80%,0.0176
6-May-20,"6,112.46","6,259.43","6,271.63","6,112.41",-,-1.63%,-0.0165
5-May-20,"6,213.58","6,277.57","6,332.00","6,209.44",-,0.04%,0.0004
4-May-20,"6,211.05","6,183.78","6,220.66","6,110.34",-,-0.71%,-0.0072
1-May-20,"6,255.60","6,306.53","6,320.93","6,226.47",-,-3.27%,-0.0338
30-Apr-20,"6,467.31","6,567.00","6,567.00","6,430.63",-,-2.71%,-0.0278
29-Apr-20,"6,647.27","6,593.64","6,693.09","6,571.14",-,3.89%,0.0374
28-Apr-20,"6,398.56","6,496.22","6,525.99","6,377.52",-,1.34%,0.0132
27-Apr-20,"6,314.15","6,164.03","6,329.97","6,160.23",-,3.46%,0.0335
24-Apr-20,"6,102.70","6,107.24","6,125.20","6,009.19",-,0.72%,0.0071
23-Apr-20,"6,059.14","6,108.56","6,178.95","6,051.35",-,-0.28%,-0.0028
22-Apr-20,"6,075.89","6,108.08","6,125.18","6,054.41",-,1.48%,0.0146
21-Apr-20,"5,987.17","5,995.95","6,079.92","5,967.63",-,-2.91%,-0.0300
20-Apr-20,"6,166.83","6,181.66","6,270.59","6,126.55",-,-2.36%,-0.0242
17-Apr-20,"6,315.85","6,257.38","6,333.42","6,192.72",-,4.85%,0.0462
16-Apr-20,"6,023.92","6,147.65","6,152.61","5,981.96",-,-1.90%,-0.0194
15-Apr-20,"6,140.62","6,184.82","6,215.20","6,117.66",-,-4.67%,-0.0489
14-Apr-20,"6,441.10","6,516.02","6,541.41","6,365.42",-,1.07%,0.0106
13-Apr-20,"6,372.70","6,583.24","6,583.24","6,302.53",-,-3.20%,-0.0330
9-Apr-20,"6,583.24","6,458.32","6,651.86","6,456.78",-,4.20%,0.0403
8-Apr-20,"6,318.12","6,138.95","6,339.44","6,069.05",-,4.25%,0.0408
7-Apr-20,"6,060.30","6,306.13","6,331.10","6,056.61",-,1.00%,0.0099
6-Apr-20,"6,000.51","5,850.62","6,028.91","5,839.29",-,7.82%,0.0725
3-Apr-20,"5,565.39","5,653.71","5,697.00","5,491.50",-,-2.41%,-0.0247
2-Apr-20,"5,703.06","5,556.27","5,766.18","5,556.27",-,1.74%,0.0172
1-Apr-20,"5,605.25","5,673.58","5,708.83","5,558.71",-,-6.15%,-0.0655
31-Mar-20,"5,972.42","6,056.22","6,111.90","5,913.11",-,-2.56%,-0.0262
30-Mar-20,"6,129.05","6,016.80","6,143.95","5,907.70",-,1.49%,0.0147
27-Mar-20,"6,039.15","5,975.80","6,213.69","5,917.06",-,-3.34%,-0.0346
26-Mar-20,"6,248.07","5,972.21","6,258.64","5,972.21",-,5.93%,0.0560
25-Mar-20,"5,898.09","5,731.70","6,121.93","5,604.08",-,4.48%,0.0429
24-Mar-20,"5,645.00","5,362.69","5,651.65","5,362.69",-,12.08%,0.1078
23-Mar-20,"5,036.38","5,257.86","5,274.72","4,997.01",-,-5.84%,-0.0621
20-Mar-20,"5,348.94","5,613.51","5,696.27","5,322.52",-,-3.46%,-0.0358
19-Mar-20,"5,540.64","5,393.10","5,624.63","5,200.65",-,1.50%,0.0147
18-Mar-20,"5,458.99","5,668.76","5,675.49","5,227.03",-,-8.83%,-0.0969
17-Mar-20,"5,987.96","5,807.49","6,067.42","5,631.29",-,4.78%,0.0456
16-Mar-20,"5,714.87","6,656.64","6,656.64","5,712.92",-,-14.15%,-0.1648
13-Mar-20,"6,656.64","6,277.52","6,661.06","6,094.56",-,10.91%,0.0983
12-Mar-20,"6,001.97","6,291.50","6,410.61","5,996.69",-,-10.68%,-0.1196
11-Mar-20,"6,719.70","6,952.22","6,952.22","6,649.49",-,-5.44%,-0.0575
10-Mar-20,"7,105.93","6,981.12","7,105.94","6,756.91",-,5.38%,0.0510
9-Mar-20,"6,743.20","7,161.48","7,161.48","6,715.72",-,-10.04%,-0.1116
6-Mar-20,"7,495.44","7,686.66","7,686.66","7,343.02",-,-2.49%,-0.0255
5-Mar-20,"7,686.66","7,801.86","7,811.16","7,614.08",-,-3.92%,-0.0408
4-Mar-20,"8,000.28","7,769.44","8,001.03","7,769.44",-,2.97%,0.0289
3-Mar-20,"7,769.44","8,003.15","8,075.31","7,713.97",-,-2.93%,-0.0301
2-Mar-20,"8,003.63","7,726.16","8,006.53","7,646.07",-,3.93%,0.0378
28-Feb-20,"7,701.35","7,844.88","7,844.88","7,510.88",-,-1.83%,-0.0186
27-Feb-20,"7,844.88","8,032.45","8,114.20","7,844.19",-,-4.28%,-0.0448
26-Feb-20,"8,196.07","8,296.50","8,371.86","8,196.07",-,-0.75%,-0.0075
25-Feb-20,"8,257.94","8,537.57","8,546.04","8,235.47",-,-3.24%,-0.0335
24-Feb-20,"8,534.39","8,596.62","8,602.97","8,505.34",-,-3.08%,-0.0318
21-Feb-20,"8,805.76","8,841.02","8,843.12","8,770.86",-,-0.76%,-0.0076
20-Feb-20,"8,872.87","8,851.93","8,903.38","8,806.68",-,0.05%,0.0005
19-Feb-20,"8,868.24","8,872.81","8,888.63","8,857.20",-,0.25%,0.0025
18-Feb-20,"8,846.25","8,882.01","8,889.72","8,813.82",-,-0.70%,-0.0070
14-Feb-20,"8,908.29","8,894.93","8,913.14","8,874.21",-,0.18%,0.0018
13-Feb-20,"8,892.34","8,865.05","8,906.56","8,854.28",-,0.00%,0.0000
12-Feb-20,"8,892.41","8,896.67","8,911.30","8,881.21",-,0.36%,0.0036
11-Feb-20,"8,860.45","8,819.84","8,898.98","8,819.84",-,0.46%,0.0046
10-Feb-20,"8,819.84","8,770.18","8,820.07","8,768.61",-,0.47%,0.0047
7-Feb-20,"8,778.47","8,784.09","8,798.41","8,753.96",-,-0.32%,-0.0032
6-Feb-20,"8,806.49","8,828.62","8,835.96","8,793.42",-,0.18%,0.0018
5-Feb-20,"8,791.07","8,752.49","8,794.75","8,740.65",-,1.27%,0.0126
4-Feb-20,"8,680.59","8,675.28","8,730.59","8,675.28",-,1.20%,0.0119
3-Feb-20,"8,577.55","8,558.58","8,645.06","8,558.58",-,0.49%,0.0049
