Date,Price,Open,High,Low,Vol.,Change %,r
16-Apr-21,"9,568.24","9,517.99","9,586.90","9,517.99",-,0.53%,0.0053
15-Apr-21,"9,517.99","9,475.90","9,518.60","9,448.10",-,0.44%,0.0044
14-Apr-21,"9,475.90","9,438.17","9,528.96","9,421.99",-,0.40%,0.0040
13-Apr-21,"9,438.17","9,491.19","9,491.19","9,396.69",-,-0.56%,-0.0056
12-Apr-21,"9,491.19","9,483.03","9,497.00","9,453.93",-,0.09%,0.0009
9-Apr-21,"9,483.03","9,440.36","9,483.92","9,436.02",-,0.45%,0.0045
8-Apr-21,"9,440.36","9,434.88","9,453.71","9,379.19",-,0.06%,0.0006
7-Apr-21,"9,434.88","9,413.05","9,454.05","9,385.17",-,0.23%,0.0023
6-Apr-21,"9,413.05","9,425.03","9,431.35","9,386.25",-,-0.13%,-0.0013
5-Apr-21,"9,425.03","9,366.46","9,449.21","9,366.46",-,0.63%,0.0062
1-Apr-21,"9,366.46","9,240.02","9,367.53","9,240.02",-,1.37%,0.0135
31-Mar-21,"9,240.02","9,320.10","9,320.48","9,239.97",-,-0.86%,-0.0087
30-Mar-21,"9,320.10","9,273.59","9,349.83","9,273.59",-,0.50%,0.0050
29-Mar-21,"9,273.59","9,359.24","9,359.24","9,204.95",-,-0.92%,-0.0092
26-Mar-21,"9,359.24","9,213.53","9,364.34","9,213.53",-,1.58%,0.0156
25-Mar-21,"9,213.53","9,100.81","9,231.83","9,035.73",-,1.24%,0.0122
24-Mar-21,"9,100.81","9,104.32","9,226.57","9,100.44",-,-0.04%,-0.0004
23-Mar-21,"9,104.32","9,218.70","9,218.70","9,080.68",-,-1.24%,-0.0126
22-Mar-21,"9,218.70","9,280.01","9,280.01","9,200.79",-,-0.66%,-0.0067
19-Mar-21,"9,280.01","9,392.32","9,392.32","9,235.31",-,-1.20%,-0.0121
18-Mar-21,"9,392.32","9,407.38","9,526.68","9,365.14",-,-0.16%,-0.0016
17-Mar-21,"9,407.38","9,363.83","9,418.99","9,318.05",-,0.47%,0.0046
16-Mar-21,"9,363.83","9,420.48","9,420.48","9,324.53",-,-0.60%,-0.0060
15-Mar-21,"9,420.48","9,425.90","9,438.17","9,336.66",-,-0.06%,-0.0006
12-Mar-21,"9,425.90","9,353.19","9,425.93","9,353.19",-,0.78%,0.0077
11-Mar-21,"9,353.19","9,331.28","9,396.05","9,281.58",-,0.23%,0.0023
10-Mar-21,"9,331.28","9,192.25","9,357.26","9,192.25",-,1.51%,0.0149
9-Mar-21,"9,192.25","9,201.78","9,283.75","9,124.35",-,-0.10%,-0.0010
8-Mar-21,"9,201.78","9,099.66","9,302.70","9,099.66",-,1.12%,0.0111
5-Mar-21,"9,099.66","8,944.31","9,116.88","8,851.92",-,1.74%,0.0171
4-Mar-21,"8,944.31","9,068.70","9,108.02","8,828.33",-,-1.37%,-0.0139
3-Mar-21,"9,068.70","9,039.43","9,159.64","9,039.43",-,0.32%,0.0032
2-Mar-21,"9,039.43","9,055.53","9,097.11","9,015.77",-,-0.18%,-0.0018
1-Mar-21,"9,055.53","8,853.18","9,109.34","8,853.18",-,2.29%,0.0223
26-Feb-21,"8,853.18","9,014.23","9,014.23","8,829.15",-,-1.79%,-0.0182
25-Feb-21,"9,014.23","9,203.52","9,248.38","8,983.74",-,-2.06%,-0.0210
24-Feb-21,"9,203.52","9,029.04","9,213.84","9,029.04",-,1.93%,0.0190
23-Feb-21,"9,029.04","8,976.57","9,048.79","8,921.77",-,0.58%,0.0058
22-Feb-21,"8,976.57","8,905.95","9,012.62","8,865.08",-,0.79%,0.0079
19-Feb-21,"8,905.95","8,827.94","8,926.10","8,827.94",-,0.88%,0.0088
18-Feb-21,"8,827.94","8,876.89","8,876.89","8,773.14",-,-0.55%,-0.0055
17-Feb-21,"8,876.89","8,875.39","8,882.07","8,809.10",-,0.02%,0.0002
16-Feb-21,"8,875.39","8,766.52","8,892.43","8,766.52",-,1.24%,0.0123
12-Feb-21,"8,766.52","8,708.42","8,770.29","8,695.03",-,0.67%,0.0066
11-Feb-21,"8,708.42","8,686.35","8,745.91","8,646.16",-,0.25%,0.0025
10-Feb-21,"8,686.35","8,674.16","8,739.12","8,657.24",-,0.14%,0.0014
9-Feb-21,"8,674.16","8,657.90","8,683.51","8,617.46",-,0.19%,0.0019
