company,date,total debt,equity,DERatio
AEL,3/31/05,$11.35 ,$0.32 ,35.76
AEL,6/30/05,$12.07 ,$0.35 ,34.74
AEL,9/30/05,$12.89 ,$0.35 ,37.01
AEL,12/31/05,$13.52 ,$0.52 ,26.04
AEL,3/31/06,$14.17 ,$0.49 ,28.96
AEL,6/30/06,$14.28 ,$0.50 ,28.55
AEL,9/30/06,$14.45 ,$0.57 ,25.58
AEL,12/31/06,$14.40 ,$0.60 ,24.19
AEL,3/31/07,$14.49 ,$0.61 ,23.89
AEL,6/30/07,$15.20 ,$0.60 ,25.26
AEL,9/30/07,$15.55 ,$0.62 ,25.11
AEL,12/31/07,$15.78 ,$0.61 ,25.8
AEL,3/31/08,$15.93 ,$0.63 ,25.5
AEL,6/30/08,$16.46 ,$0.59 ,27.75
AEL,9/30/08,$16.62 ,$0.52 ,31.93
AEL,12/31/08,$16.59 ,$0.50 ,33.38
AEL,3/31/09,$17.00 ,$0.51 ,33.49
AEL,6/30/09,$18.25 ,$0.61 ,29.79
AEL,9/30/09,$20.55 ,$0.75 ,27.35
AEL,12/31/09,$20.56 ,$0.76 ,27.24
AEL,3/31/10,$21.70 ,$0.81 ,26.86
AEL,6/30/10,$22.50 ,$0.92 ,24.5
AEL,9/30/10,$23.52 ,$1.05 ,22.48
AEL,12/31/10,$25.49 ,$0.94 ,27.17
AEL,3/31/11,$26.87 ,$0.96 ,27.96
AEL,6/30/11,$27.53 ,$1.04 ,26.48
AEL,9/30/11,$28.52 ,$1.36 ,20.98
AEL,12/31/11,$29.47 ,$1.41 ,20.92
AEL,3/31/12,$31.67 ,$1.37 ,23.05
AEL,6/30/12,$31.56 ,$1.58 ,20
AEL,9/30/12,$32.88 ,$1.72 ,19.17
AEL,12/31/12,$33.41 ,$1.72 ,19.42
AEL,3/31/13,$35.12 ,$1.73 ,20.3
AEL,6/30/13,$35.85 ,$1.44 ,24.86
AEL,9/30/13,$37.32 ,$1.40 ,26.76
AEL,12/31/13,$38.24 ,$1.39 ,27.61
AEL,3/31/14,$38.89 ,$1.66 ,23.5
AEL,6/30/14,$40.09 ,$1.91 ,20.95
AEL,9/30/14,$40.98 ,$1.98 ,20.75
AEL,12/31/14,$41.85 ,$2.14 ,19.56
AEL,3/31/15,$43.06 ,$2.33 ,18.51
AEL,6/30/15,$44.34 ,$1.91 ,23.24
AEL,9/30/15,$44.98 ,$2.15 ,20.92
AEL,12/31/15,$47.09 ,$1.95 ,24.21
AEL,3/31/16,$49.03 ,$2.23 ,21.94
AEL,6/30/16,$51.11 ,$2.61 ,19.56
AEL,9/30/16,$53.04 ,$2.81 ,18.86
AEL,12/31/16,$53.76 ,$2.29 ,23.46
AEL,3/31/17,$55.11 ,$2.44 ,22.62
AEL,6/30/17,$56.98 ,$2.65 ,21.49
AEL,9/30/17,$57.62 ,$2.76 ,20.86
AEL,12/31/17,$59.18 ,$2.85 ,20.76
AEL,3/31/18,$58.75 ,$2.55 ,23.07
AEL,6/30/18,$59.20 ,$2.43 ,24.39
AEL,9/30/18,$60.96 ,$2.49 ,24.49
AEL,12/31/18,$59.23 ,$2.40 ,24.69
AEL,3/31/19,$61.54 ,$2.94 ,20.94
AEL,6/30/19,$62.87 ,$3.50 ,17.98
AEL,9/30/19,$64.20 ,$4.13 ,15.56
AEL,12/31/19,$65.13 ,$4.57 ,14.25
AEL,3/31/20,$62.03 ,$3.52 ,17.61
AEL,6/30/20,$63.55 ,$5.06 ,12.55
AEL,9/30/20,$62.55 ,$6.12 ,10.22
AEL,12/31/20,$64.82 ,$6.58 ,9.86
AFG,3/31/05,$19.65 ,$2.36 ,8.33
AFG,6/30/05,$19.96 ,$2.56 ,7.8
AFG,9/30/05,$20.74 ,$2.40 ,8.63
AFG,12/31/05,$20.36 ,$2.46 ,8.28
AFG,3/31/06,$20.46 ,$2.45 ,8.35
AFG,6/30/06,$20.63 ,$2.48 ,8.33
AFG,9/30/06,$22.31 ,$2.76 ,8.08
AFG,12/31/06,$22.17 ,$2.93 ,7.57
AFG,3/31/07,$22.34 ,$3.04 ,7.35
AFG,6/30/07,$22.73 ,$2.97 ,7.65
AFG,9/30/07,$23.10 ,$3.01 ,7.67
AFG,12/31/07,$22.76 ,$3.05 ,7.47
AFG,3/31/08,$22.98 ,$3.02 ,7.61
AFG,6/30/08,$23.28 ,$2.88 ,8.1
AFG,9/30/08,$24.15 ,$2.78 ,8.7
AFG,12/31/08,$23.83 ,$2.60 ,9.16
AFG,3/31/09,$23.16 ,$2.68 ,8.65
AFG,6/30/09,$23.08 ,$3.19 ,7.23
AFG,9/30/09,$24.05 ,$3.80 ,6.33
AFG,12/31/09,$23.76 ,$3.92 ,6.06
AFG,3/31/10,$25.98 ,$4.31 ,6.03
AFG,6/30/10,$26.10 ,$4.43 ,5.89
AFG,9/30/10,$27.91 ,$4.73 ,5.9
AFG,12/31/10,$27.83 ,$4.62 ,6.03
AFG,3/31/11,$28.34 ,$4.61 ,6.14
AFG,6/30/11,$29.43 ,$4.63 ,6.36
AFG,9/30/11,$30.51 ,$4.62 ,6.6
AFG,12/31/11,$31.28 ,$4.56 ,6.86
AFG,3/31/12,$31.48 ,$4.73 ,6.65
AFG,6/30/12,$32.28 ,$4.78 ,6.76
AFG,9/30/12,$34.67 ,$4.96 ,6.98
AFG,12/31/12,$34.42 ,$4.75 ,7.25
AFG,3/31/13,$34.23 ,$4.91 ,6.98
AFG,6/30/13,$34.78 ,$4.64 ,7.5
AFG,9/30/13,$36.24 ,$4.71 ,7.69
AFG,12/31/13,$37.32 ,$4.77 ,7.83
AFG,3/31/14,$37.80 ,$4.97 ,7.6
AFG,6/30/14,$40.20 ,$5.16 ,7.79
AFG,9/30/14,$41.47 ,$5.08 ,8.17
AFG,12/31/14,$42.48 ,$5.05 ,8.41
AFG,3/31/15,$43.21 ,$5.10 ,8.47
AFG,6/30/15,$44.44 ,$4.98 ,8.92
AFG,9/30/15,$45.65 ,$4.91 ,9.31
AFG,12/31/15,$45.07 ,$4.77 ,9.45
AFG,3/31/16,$46.10 ,$4.94 ,9.34
AFG,6/30/16,$47.54 ,$5.19 ,9.16
AFG,9/30/16,$49.49 ,$5.36 ,9.24
AFG,12/31/16,$50.15 ,$4.92 ,10.2
AFG,3/31/17,$52.27 ,$5.20 ,10.06
AFG,6/30/17,$53.31 ,$5.31 ,10.04
AFG,9/30/17,$54.78 ,$5.38 ,10.19
AFG,12/31/17,$55.33 ,$5.33 ,10.38
AFG,3/31/18,$55.47 ,$5.18 ,10.7
AFG,6/30/18,$56.75 ,$5.08 ,11.16
AFG,9/30/18,$59.03 ,$5.16 ,11.43
AFG,12/31/18,$58.48 ,$4.97 ,11.76
AFG,3/31/19,$60.47 ,$5.67 ,10.67
AFG,6/30/19,$61.61 ,$6.09 ,10.12
AFG,9/30/19,$62.75 ,$6.32 ,9.93
AFG,12/31/19,$63.86 ,$6.27 ,10.19
AFG,3/31/20,$62.60 ,$5.05 ,12.4
AFG,6/30/20,$64.74 ,$6.13 ,10.57
AFG,9/30/20,$66.77 ,$6.34 ,10.53
AFG,12/31/20,$66.78 ,$6.79 ,9.84
AFL,3/31/05,$49.27 ,$7.78 ,6.34
AFL,6/30/05,$49.54 ,$8.46 ,5.86
AFL,9/30/05,$49.45 ,$8.01 ,6.18
AFL,12/31/05,$48.43 ,$7.93 ,6.11
AFL,3/31/06,$48.56 ,$7.58 ,6.41
AFL,6/30/06,$50.26 ,$7.17 ,7.01
AFL,9/30/06,$50.33 ,$8.03 ,6.27
AFL,12/31/06,$51.46 ,$8.34 ,6.17
AFL,3/31/07,$52.70 ,$8.49 ,6.21
AFL,6/30/07,$51.92 ,$8.19 ,6.34
AFL,9/30/07,$55.13 ,$8.45 ,6.52
AFL,12/31/07,$57.01 ,$8.80 ,6.48
AFL,3/31/08,$64.14 ,$8.13 ,7.89
AFL,6/30/08,$62.65 ,$7.90 ,7.93
AFL,9/30/08,$63.96 ,$6.50 ,9.84
AFL,12/31/08,$72.69 ,$6.64 ,10.95
AFL,3/31/09,$66.62 ,$5.20 ,12.81
AFL,6/30/09,$69.69 ,$6.35 ,10.98
AFL,9/30/09,$74.73 ,$7.88 ,9.48
AFL,12/31/09,$75.69 ,$8.42 ,8.99
AFL,3/31/10,$76.19 ,$8.99 ,8.48
AFL,6/30/10,$81.21 ,$10.03 ,8.1
AFL,9/30/10,$86.71 ,$11.13 ,7.79
AFL,12/31/10,$89.98 ,$11.06 ,8.14
AFL,3/31/11,$90.12 ,$11.02 ,8.18
AFL,6/30/11,$94.25 ,$11.98 ,7.87
