company,date,total debt,equity,DERatio
AFL,9/30/11,$102.01 ,$12.71 ,8.02
AFL,12/31/11,$103.29 ,$12.95 ,7.98
AFL,3/31/12,$101.91 ,$13.64 ,7.47
AFL,6/30/12,$108.03 ,$14.18 ,7.62
AFL,9/30/12,$121.86 ,$15.99 ,7.62
AFL,12/31/12,$115.12 ,$15.98 ,7.21
AFL,3/31/13,$105.00 ,$15.54 ,6.76
AFL,6/30/13,$102.62 ,$13.70 ,7.49
AFL,9/30/13,$105.26 ,$14.66 ,7.18
AFL,12/31/13,$106.69 ,$14.62 ,7.3
AFL,3/31/14,$107.62 ,$15.68 ,6.87
AFL,6/30/14,$110.31 ,$17.56 ,6.28
AFL,9/30/14,$109.40 ,$17.85 ,6.13
AFL,12/31/14,$101.42 ,$18.35 ,5.53
AFL,3/31/15,$102.76 ,$18.64 ,5.51
AFL,6/30/15,$98.56 ,$17.02 ,5.79
AFL,9/30/15,$100.20 ,$17.26 ,5.81
AFL,12/31/15,$100.55 ,$17.71 ,5.68
AFL,3/31/16,$107.75 ,$20.02 ,5.38
AFL,6/30/16,$118.74 ,$22.55 ,5.27
AFL,9/30/16,$121.32 ,$22.79 ,5.32
AFL,12/31/16,$109.34 ,$20.48 ,5.34
AFL,3/31/17,$113.31 ,$20.34 ,5.57
AFL,6/30/17,$113.89 ,$21.50 ,5.3
AFL,9/30/17,$114.11 ,$21.98 ,5.19
AFL,12/31/17,$112.62 ,$24.60 ,4.58
AFL,3/31/18,$123.07 ,$24.29 ,5.07
AFL,6/30/18,$118.19 ,$23.80 ,4.97
AFL,9/30/18,$114.71 ,$23.23 ,4.94
AFL,12/31/18,$116.94 ,$23.46 ,4.98
AFL,3/31/19,$119.63 ,$26.05 ,4.59
AFL,6/30/19,$123.16 ,$28.24 ,4.36
AFL,9/30/19,$124.70 ,$29.44 ,4.24
AFL,12/31/19,$123.81 ,$28.96 ,4.28
AFL,3/31/20,$125.21 ,$26.40 ,4.74
AFL,6/30/20,$127.67 ,$29.42 ,4.34
AFL,9/30/20,$128.48 ,$32.48 ,3.96
AFL,12/31/20,$131.53 ,$33.56 ,3.92
AIG,3/31/05,$745.57 ,$82.68 ,9.02
AIG,6/30/05,$739.76 ,$88.88 ,8.32
AIG,9/30/05,$754.12 ,$89.28 ,8.45
AIG,12/31/05,$766.73 ,$86.32 ,8.88
AIG,3/31/06,$791.41 ,$88.39 ,8.95
AIG,6/30/06,$812.96 ,$87.71 ,9.27
AIG,9/30/06,$845.39 ,$96.15 ,8.79
AIG,12/31/06,$877.73 ,$101.68 ,8.63
AIG,3/31/07,$896.69 ,$103.06 ,8.7
AIG,6/30/07,$929.54 ,$104.33 ,8.91
AIG,9/30/07,$968.04 ,$104.07 ,9.3
AIG,12/31/07,$952.56 ,$95.80 ,9.94
AIG,3/31/08,$971.38 ,$79.70 ,12.19
AIG,6/30/08,$971.79 ,$78.09 ,12.45
AIG,9/30/08,$951.06 ,$71.18 ,13.36
AIG,12/31/08,$799.61 ,$60.81 ,13.15
AIG,3/31/09,$766.55 ,$53.21 ,14.41
AIG,6/30/09,$768.28 ,$62.13 ,12.37
AIG,9/30/09,$767.81 ,$76.54 ,10.03
AIG,12/31/09,$749.51 ,$98.08 ,7.64
AIG,3/31/10,$761.98 ,$101.72 ,7.49
AIG,6/30/10,$747.81 ,$102.72 ,7.28
AIG,9/30/10,$763.25 ,$108.71 ,7.02
AIG,12/31/10,$570.20 ,$113.24 ,5.04
AIG,3/31/11,$525.40 ,$85.85 ,6.12
AIG,6/30/11,$523.17 ,$93.63 ,5.59
AIG,9/30/11,$457.46 ,$86.80 ,5.27
AIG,12/31/11,$450.66 ,$102.39 ,4.4
AIG,3/31/12,$450.06 ,$104.34 ,4.31
AIG,6/30/12,$449.85 ,$105.53 ,4.26
AIG,9/30/12,$448.31 ,$102.41 ,4.38
AIG,12/31/12,$449.96 ,$98.67 ,4.56
AIG,3/31/13,$448.70 ,$100.18 ,4.48
AIG,6/30/13,$439.28 ,$98.16 ,4.48
AIG,9/30/13,$441.30 ,$99.45 ,4.44
AIG,12/31/13,$440.25 ,$101.08 ,4.36
AIG,3/31/14,$442.72 ,$104.39 ,4.24
AIG,6/30/14,$420.53 ,$108.58 ,3.87
AIG,9/30/14,$418.21 ,$108.98 ,3.84
AIG,12/31/14,$408.31 ,$107.27 ,3.81
AIG,3/31/15,$412.33 ,$108.37 ,3.81
AIG,6/30/15,$405.35 ,$104.64 ,3.87
AIG,9/30/15,$402.37 ,$99.62 ,4.04
AIG,12/31/15,$406.63 ,$90.21 ,4.51
AIG,3/31/16,$413.70 ,$89.08 ,4.64
AIG,6/30/16,$419.81 ,$90.54 ,4.64
AIG,9/30/16,$425.40 ,$89.17 ,4.77
AIG,12/31/16,$421.41 ,$76.86 ,5.48
AIG,3/31/17,$425.50 ,$74.67 ,5.7
AIG,6/30/17,$425.44 ,$74.32 ,5.72
AIG,9/30/17,$430.06 ,$73.01 ,5.89
AIG,12/31/17,$432.59 ,$65.71 ,6.58
AIG,3/31/18,$435.79 ,$63.36 ,6.88
AIG,6/30/18,$435.03 ,$61.80 ,7.04
AIG,9/30/18,$445.68 ,$59.18 ,7.53
AIG,12/31/18,$434.68 ,$57.31 ,7.59
AIG,3/31/19,$450.83 ,$62.09 ,7.26
AIG,6/30/19,$456.16 ,$66.11 ,6.9
AIG,9/30/19,$457.68 ,$67.45 ,6.79
AIG,12/31/19,$457.64 ,$67.43 ,6.79
AIG,3/31/20,$448.63 ,$61.84 ,7.25
AIG,6/30/20,$506.57 ,$62.82 ,8.06
AIG,9/30/20,$512.62 ,$64.61 ,7.93
AIG,12/31/20,$519.28 ,$67.20 ,7.73
AIZ,3/31/05,$20.69 ,$3.64 ,5.69
AIZ,6/30/05,$20.61 ,$3.84 ,5.36
AIZ,9/30/05,$21.75 ,$3.67 ,5.93
AIZ,12/31/05,$21.67 ,$3.70 ,5.86
AIZ,3/31/06,$21.03 ,$3.65 ,5.76
AIZ,6/30/06,$20.96 ,$3.57 ,5.87
AIZ,9/30/06,$21.26 ,$3.76 ,5.66
AIZ,12/31/06,$21.33 ,$3.83 ,5.57
AIZ,3/31/07,$21.54 ,$3.92 ,5.49
AIZ,6/30/07,$21.96 ,$3.81 ,5.76
AIZ,9/30/07,$22.65 ,$3.92 ,5.77
AIZ,12/31/07,$22.66 ,$4.09 ,5.54
AIZ,3/31/08,$22.24 ,$4.21 ,5.29
AIZ,6/30/08,$21.97 ,$4.25 ,5.17
AIZ,9/30/08,$21.62 ,$3.73 ,5.79
AIZ,12/31/08,$20.81 ,$3.71 ,5.61
AIZ,3/31/09,$20.15 ,$3.67 ,5.49
AIZ,6/30/09,$20.46 ,$4.37 ,4.69
AIZ,9/30/09,$20.76 ,$4.90 ,4.23
AIZ,12/31/09,$21.01 ,$4.85 ,4.33
AIZ,3/31/10,$21.27 ,$4.97 ,4.28
AIZ,6/30/10,$21.08 ,$5.04 ,4.18
AIZ,9/30/10,$21.48 ,$5.37 ,4
AIZ,12/31/10,$21.62 ,$4.78 ,4.52
AIZ,3/31/11,$21.95 ,$4.75 ,4.62
AIZ,6/30/11,$21.90 ,$4.88 ,4.49
AIZ,9/30/11,$21.76 ,$5.01 ,4.34
AIZ,12/31/11,$22.15 ,$4.87 ,4.54
AIZ,3/31/12,$22.29 ,$4.97 ,4.49
AIZ,6/30/12,$22.21 ,$5.03 ,4.41
AIZ,9/30/12,$22.94 ,$5.23 ,4.39
AIZ,12/31/12,$23.76 ,$5.19 ,4.58
AIZ,3/31/13,$24.28 ,$5.21 ,4.66
AIZ,6/30/13,$23.93 ,$4.80 ,4.99
AIZ,9/30/13,$24.57 ,$4.78 ,5.14
AIZ,12/31/13,$24.88 ,$4.83 ,5.15
AIZ,3/31/14,$24.57 ,$5.10 ,4.82
AIZ,6/30/14,$25.27 ,$5.35 ,4.72
AIZ,9/30/14,$25.33 ,$5.34 ,4.74
AIZ,12/31/14,$26.38 ,$5.18 ,5.09
AIZ,3/31/15,$25.67 ,$5.13 ,5.01
AIZ,6/30/15,$26.01 ,$4.83 ,5.39
AIZ,9/30/15,$25.90 ,$4.68 ,5.53
AIZ,12/31/15,$25.51 ,$4.52 ,5.64
AIZ,3/31/16,$25.72 ,$4.57 ,5.64
AIZ,6/30/16,$25.20 ,$4.61 ,5.47
AIZ,9/30/16,$25.78 ,$4.51 ,5.72
AIZ,12/31/16,$25.61 ,$4.10 ,6.25
AIZ,3/31/17,$25.41 ,$4.16 ,6.11
AIZ,6/30/17,$25.83 ,$4.23 ,6.12
AIZ,9/30/17,$28.27 ,$4.14 ,6.83
AIZ,12/31/17,$27.56 ,$4.28 ,6.44
AIZ,3/31/18,$27.93 ,$4.50 ,6.21
AIZ,6/30/18,$37.03 ,$5.33 ,6.94
AIZ,9/30/18,$38.20 ,$5.24 ,7.29
AIZ,12/31/18,$35.96 ,$5.13 ,7
AIZ,3/31/19,$36.77 ,$5.47 ,6.72
AIZ,6/30/19,$37.38 ,$5.76 ,6.49
AIZ,9/30/19,$38.06 ,$5.69 ,6.69
AIZ,12/31/19,$38.61 ,$5.68 ,6.8
AIZ,3/31/20,$38.04 ,$5.39 ,7.06
AIZ,6/30/20,$38.25 ,$5.99 ,6.39
AIZ,9/30/20,$37.64 ,$5.94 ,6.34
AIZ,12/31/20,$38.70 ,$5.96 ,6.5
AJG,3/31/05,$2.55 ,$0.68 ,3.73
AJG,6/30/05,$2.70 ,$0.74 ,3.64
AJG,9/30/05,$2.60 ,$0.79 ,3.32
AJG,12/31/05,$2.62 ,$0.77 ,3.41
AJG,3/31/06,$2.36 ,$0.78 ,3.03
AJG,6/30/06,$2.84 ,$0.80 ,3.54
AJG,9/30/06,$2.57 ,$0.85 ,3.04
AJG,12/31/06,$2.56 ,$0.86 ,2.96
AJG,3/31/07,$2.52 ,$0.87 ,2.91
AJG,6/30/07,$2.92 ,$0.78 ,3.73
AJG,9/30/07,$2.80 ,$0.77 ,3.64
AJG,12/31/07,$2.84 ,$0.72 ,3.97
AJG,3/31/08,$2.64 ,$0.70 ,3.78
AJG,6/30/08,$2.78 ,$0.73 ,3.83
AJG,9/30/08,$2.42 ,$0.78 ,3.13
AJG,12/31/08,$2.53 ,$0.74 ,3.43
AJG,3/31/09,$2.31 ,$0.80 ,2.9
AJG,6/30/09,$2.81 ,$0.84 ,3.35
AJG,9/30/09,$2.37 ,$0.87 ,2.73
AJG,12/31/09,$2.36 ,$0.89 ,2.64
AJG,3/31/10,$2.32 ,$0.92 ,2.53
AJG,6/30/10,$2.59 ,$0.97 ,2.68
AJG,9/30/10,$2.45 ,$1.01 ,2.42
AJG,12/31/10,$2.49 ,$1.11 ,2.25
AJG,3/31/11,$2.54 ,$1.15 ,2.22
AJG,6/30/11,$3.38 ,$1.20 ,2.81
AJG,9/30/11,$3.03 ,$1.22 ,2.48
AJG,12/31/11,$3.24 ,$1.24 ,2.61
AJG,3/31/12,$3.25 ,$1.36 ,2.39
AJG,6/30/12,$3.66 ,$1.47 ,2.49
AJG,9/30/12,$3.37 ,$1.64 ,2.06
AJG,12/31/12,$3.69 ,$1.66 ,2.23
AJG,3/31/13,$3.56 ,$1.67 ,2.14
AJG,6/30/13,$3.86 ,$1.70 ,2.27
AJG,9/30/13,$4.04 ,$1.93 ,2.09
AJG,12/31/13,$4.78 ,$2.09 ,2.29
AJG,3/31/14,$5.13 ,$2.14 ,2.39
AJG,6/30/14,$6.77 ,$3.25 ,2.08
AJG,9/30/14,$6.73 ,$3.26 ,2.07
AJG,12/31/14,$6.71 ,$3.31 ,2.03
AJG,3/31/15,$6.51 ,$3.22 ,2.02
AJG,6/30/15,$7.01 ,$3.71 ,1.89
AJG,9/30/15,$6.80 ,$3.71 ,1.84
AJG,12/31/15,$7.22 ,$3.69 ,1.96
AJG,3/31/16,$7.06 ,$3.65 ,1.93
AJG,6/30/16,$7.73 ,$3.66 ,2.11
AJG,9/30/16,$7.46 ,$3.74 ,1.99
AJG,12/31/16,$7.83 ,$3.66 ,2.14
AJG,3/31/17,$8.05 ,$3.73 ,2.16
AJG,6/30/17,$8.66 ,$3.91 ,2.22
AJG,9/30/17,$8.64 ,$4.17 ,2.07
AJG,12/31/17,$10.61 ,$4.30 ,2.47
AJG,3/31/18,$11.54 ,$4.59 ,2.52
AJG,6/30/18,$11.72 ,$4.51 ,2.6
AJG,9/30/18,$11.50 ,$4.61 ,2.49
AJG,12/31/18,$11.76 ,$4.57 ,2.57
AJG,3/31/19,$13.67 ,$4.96 ,2.76
AJG,6/30/19,$14.25 ,$4.95 ,2.88
AJG,9/30/19,$14.26 ,$4.91 ,2.9
AJG,12/31/19,$14.42 ,$5.22 ,2.77
AJG,3/31/20,$15.77 ,$5.07 ,3.11
AJG,6/30/20,$15.77 ,$5.54 ,2.85
AJG,9/30/20,$16.00 ,$5.82 ,2.75
AJG,12/31/20,$16.10 ,$6.23 ,2.58
AL,3/31/10,$0.00 ,$0.00 ,0
AL,6/30/10,$0.00 ,$0.00 ,0
AL,9/30/10,$0.00 ,$0.00 ,0
AL,12/31/10,$1.05 ,$1.23 ,0.86
AL,3/31/11,$1.55 ,$1.24 ,1.25
AL,6/30/11,$1.63 ,$2.13 ,0.77
AL,9/30/11,$2.10 ,$2.14 ,0.98
AL,12/31/11,$2.99 ,$2.18 ,1.37
AL,3/31/12,$4.08 ,$2.21 ,1.84
AL,6/30/12,$4.57 ,$2.24 ,2.04
AL,9/30/12,$4.88 ,$2.29 ,2.14
AL,12/31/12,$5.02 ,$2.33 ,2.15
AL,3/31/13,$5.58 ,$2.38 ,2.35
AL,6/30/13,$6.03 ,$2.41 ,2.5
AL,9/30/13,$6.35 ,$2.46 ,2.58
AL,12/31/13,$6.81 ,$2.52 ,2.7
AL,3/31/14,$6.97 ,$2.58 ,2.7
AL,6/30/14,$7.42 ,$2.63 ,2.82
AL,9/30/14,$7.85 ,$2.70 ,2.91
AL,12/31/14,$7.92 ,$2.77 ,2.86
AL,3/31/15,$8.36 ,$2.79 ,3
AL,6/30/15,$8.80 ,$2.86 ,3.08
AL,9/30/15,$8.97 ,$2.94 ,3.05
AL,12/31/15,$9.34 ,$3.02 ,3.09
AL,3/31/16,$9.68 ,$3.10 ,3.12
AL,6/30/16,$10.15 ,$3.20 ,3.18
AL,9/30/16,$10.39 ,$3.29 ,3.16
AL,12/31/16,$10.59 ,$3.38 ,3.13
AL,3/31/17,$11.02 ,$3.46 ,3.19
AL,6/30/17,$11.30 ,$3.56 ,3.18
AL,9/30/17,$11.25 ,$3.66 ,3.08
AL,12/31/17,$11.49 ,$4.13 ,2.78
AL,3/31/18,$11.72 ,$4.23 ,2.77
AL,6/30/18,$12.92 ,$4.34 ,2.98
AL,9/30/18,$13.09 ,$4.48 ,2.92
AL,12/31/18,$13.68 ,$4.81 ,2.85
AL,3/31/19,$14.01 ,$5.17 ,2.71
AL,6/30/19,$15.18 ,$5.30 ,2.87
AL,9/30/19,$16.15 ,$5.46 ,2.96
AL,12/31/19,$16.09 ,$5.62 ,2.86
AL,3/31/20,$16.95 ,$5.74 ,2.95
AL,6/30/20,$17.12 ,$5.87 ,2.92
AL,9/30/20,$17.63 ,$5.98 ,2.95
AL,12/31/20,$19.14 ,$6.07 ,3.15
ALL,3/31/05,$130.14 ,$21.33 ,6.1
ALL,6/30/05,$132.62 ,$22.32 ,5.94
ALL,9/30/05,$136.71 ,$19.42 ,7.04
ALL,12/31/05,$135.89 ,$20.19 ,6.73
ALL,3/31/06,$136.26 ,$20.55 ,6.63
ALL,6/30/06,$136.49 ,$20.61 ,6.62
ALL,9/30/06,$138.12 ,$22.20 ,6.22
ALL,12/31/06,$135.71 ,$21.85 ,6.21
ALL,3/31/07,$137.60 ,$22.49 ,6.12
ALL,6/30/07,$138.98 ,$21.56 ,6.45
ALL,9/30/07,$137.74 ,$21.63 ,6.37
ALL,12/31/07,$134.56 ,$21.85 ,6.16
ALL,3/31/08,$131.91 ,$20.30 ,6.5
ALL,6/30/08,$131.12 ,$19.71 ,6.65
ALL,9/30/08,$126.64 ,$16.94 ,7.48
ALL,12/31/08,$122.13 ,$12.67 ,9.64
ALL,3/31/09,$118.10 ,$12.27 ,9.62
ALL,6/30/09,$117.99 ,$15.10 ,7.82
ALL,9/30/09,$117.97 ,$17.53 ,6.73
ALL,12/31/09,$115.93 ,$16.72 ,6.93
ALL,3/31/10,$114.80 ,$17.59 ,6.53
ALL,6/30/10,$112.74 ,$18.07 ,6.24
ALL,9/30/10,$113.23 ,$19.30 ,5.87
ALL,12/31/10,$111.83 ,$19.04 ,5.87
ALL,3/31/11,$111.08 ,$19.34 ,5.74
ALL,6/30/11,$110.23 ,$18.79 ,5.87
ALL,9/30/11,$108.83 ,$18.13 ,6
ALL,12/31/11,$106.87 ,$18.33 ,5.83
ALL,3/31/12,$106.72 ,$19.21 ,5.56
ALL,6/30/12,$106.06 ,$19.48 ,5.45
ALL,9/30/12,$106.15 ,$20.84 ,5.09
ALL,12/31/12,$106.37 ,$20.58 ,5.17
ALL,3/31/13,$105.99 ,$20.62 ,5.14
ALL,6/30/13,$101.61 ,$19.87 ,5.11
ALL,9/30/13,$101.51 ,$20.78 ,4.89
ALL,12/31/13,$102.04 ,$21.48 ,4.75
ALL,3/31/14,$102.19 ,$22.11 ,4.62
ALL,6/30/14,$87.36 ,$22.87 ,3.82
ALL,9/30/14,$85.98 ,$22.33 ,3.85
ALL,12/31/14,$86.18 ,$22.30 ,3.86
ALL,3/31/15,$85.89 ,$22.18 ,3.87
ALL,6/30/15,$85.82 ,$21.30 ,4.03
ALL,9/30/15,$85.35 ,$20.50 ,4.16
ALL,12/31/15,$84.63 ,$20.03 ,4.23
ALL,3/31/16,$85.61 ,$20.34 ,4.21
ALL,6/30/16,$86.73 ,$20.55 ,4.22
ALL,9/30/16,$87.60 ,$20.93 ,4.19
ALL,12/31/16,$88.04 ,$20.57 ,4.28
ALL,3/31/17,$89.09 ,$21.16 ,4.21
ALL,6/30/17,$89.36 ,$21.50 ,4.16
ALL,9/30/17,$91.51 ,$22.12 ,4.14
ALL,12/31/17,$89.87 ,$22.55 ,3.99
ALL,3/31/18,$90.01 ,$23.28 ,3.87
ALL,6/30/18,$90.25 ,$23.12 ,3.9
ALL,9/30/18,$90.86 ,$23.63 ,3.84
ALL,12/31/18,$90.94 ,$21.31 ,4.27
ALL,3/31/19,$92.42 ,$23.42 ,3.95
ALL,6/30/19,$93.90 ,$24.48 ,3.84
ALL,9/30/19,$94.93 ,$26.14 ,3.63
ALL,12/31/19,$93.95 ,$26.00 ,3.61
ALL,3/31/20,$91.93 ,$24.17 ,3.8
ALL,6/30/20,$94.28 ,$26.99 ,3.49
ALL,9/30/20,$95.49 ,$27.26 ,3.5
ALL,12/31/20,$95.77 ,$30.22 ,3.17
ALLY,12/31/08,$0.00 ,$0.00 ,0
ALLY,12/31/09,$151.47 ,$20.84 ,7.27
ALLY,12/31/10,$151.52 ,$20.49 ,7.4
ALLY,12/31/11,$164.78 ,$19.28 ,8.55
ALLY,6/30/12,$0.00 ,$0.00 ,0
ALLY,9/30/12,$0.00 ,$0.00 ,0
