CME,2010-09-30,$0.73
CME,2010-06-30,$0.82
CME,2010-03-31,$0.72
CME,2009-12-31,$0.61
CME,2009-09-30,$0.61
CME,2009-06-30,$0.67
CME,2009-03-31,$0.60
CME,2008-12-31,$0.08
CME,2008-09-30,$0.56
CME,2008-06-30,$0.73
CME,2008-03-31,$1.05
CME,2007-12-31,$0.76
CME,2007-09-30,$0.77
CME,2007-06-30,$0.71
CME,2007-03-31,$0.74
CME,2006-12-31,$0.58
CME,2006-09-30,$0.59
CME,2006-06-30,$0.62
CME,2006-03-31,$0.52
CME,2005-12-31,$0.44
CME,2005-09-30,$0.44
CME,2005-06-30,$0.47
CME,2005-03-31,$0.41
BX,2020-12-31,$1.14
BX,2020-09-30,$1.13
BX,2020-06-30,$0.81
BX,2020-03-31,$-1.58
BX,2019-12-31,$0.72
BX,2019-09-30,$1.15
BX,2019-06-30,$0.45
BX,2019-03-31,$0.71
BX,2018-12-31,$-0.02
BX,2018-09-30,$0.64
BX,2018-06-30,$1.09
BX,2018-03-31,$0.53
BX,2017-12-31,$0.45
BX,2017-09-30,$0.55
BX,2017-06-30,$0.50
BX,2017-03-31,$0.68
BX,2016-12-31,$0.56
BX,2016-09-30,$0.47
BX,2016-06-30,$0.30
BX,2016-03-31,$0.23
BX,2015-12-31,$0.23
BX,2015-09-30,$-0.40
BX,2015-06-30,$0.21
BX,2015-03-31,$1.00
BX,2014-12-31,$0.88
BX,2014-09-30,$0.41
BX,2014-06-30,$0.85
BX,2014-03-31,$0.44
BX,2013-12-31,$1.04
BX,2013-09-30,$0.29
BX,2013-06-30,$0.36
BX,2013-03-31,$0.29
BX,2012-12-31,$0.20
BX,2012-09-30,$0.24
BX,2012-06-30,$-0.14
BX,2012-03-31,$0.11
BX,2011-12-31,$-0.06
BX,2011-09-30,$-0.56
BX,2011-06-30,$0.18
BX,2011-03-31,$0.09
BX,2010-12-31,$0.01
BX,2010-09-30,$-0.12
BX,2010-06-30,$-0.55
BX,2010-03-31,$-0.36
BX,2009-12-31,$-0.43
BX,2009-09-30,$-0.60
BX,2009-06-30,$-0.60
BX,2009-03-31,$-0.84
BX,2008-12-31,$-3.04
BX,2008-09-30,$-1.26
BX,2008-06-30,$-0.59
BX,2008-03-31,$-0.95
BX,2007-12-31,$-0.65
BX,2007-09-30,$-0.44
BX,2007-06-30,$0.00
BX,2007-03-31,$0.00
BX,2006-09-30,$0.00
BX,2006-06-30,$0.00
USB,2020-12-31,$0.94
USB,2020-09-30,$0.99
USB,2020-06-30,$0.41
USB,2020-03-31,$0.72
USB,2019-12-31,$0.92
USB,2019-09-30,$1.15
USB,2019-06-30,$1.09
USB,2019-03-31,$1.00
USB,2018-12-31,$1.10
USB,2018-09-30,$1.06
USB,2018-06-30,$1.02
USB,2018-03-31,$0.96
USB,2017-12-31,$0.96
USB,2017-09-30,$0.88
USB,2017-06-30,$0.85
USB,2017-03-31,$0.82
USB,2016-12-31,$0.81
USB,2016-09-30,$0.84
USB,2016-06-30,$0.83
USB,2016-03-31,$0.76
USB,2015-12-31,$0.79
USB,2015-09-30,$0.81
USB,2015-06-30,$0.80
USB,2015-03-31,$0.76
USB,2014-12-31,$0.79
USB,2014-09-30,$0.78
USB,2014-06-30,$0.78
USB,2014-03-31,$0.73
USB,2013-12-31,$0.75
USB,2013-09-30,$0.76
USB,2013-06-30,$0.76
USB,2013-03-31,$0.73
USB,2012-12-31,$0.72
USB,2012-09-30,$0.74
USB,2012-06-30,$0.71
USB,2012-03-31,$0.67
USB,2011-12-31,$0.70
USB,2011-09-30,$0.64
USB,2011-06-30,$0.60
USB,2011-03-31,$0.52
USB,2010-12-31,$0.49
USB,2010-09-30,$0.45
USB,2010-06-30,$0.45
USB,2010-03-31,$0.34
USB,2009-12-31,$0.31
USB,2009-09-30,$0.30
USB,2009-06-30,$0.12
USB,2009-03-31,$0.24
USB,2008-12-31,$0.14
USB,2008-09-30,$0.32
USB,2008-06-30,$0.53
USB,2008-03-31,$0.62
USB,2007-12-31,$0.52
USB,2007-09-30,$0.62
USB,2007-06-30,$0.65
USB,2007-03-31,$0.63
USB,2006-12-31,$0.66
USB,2006-09-30,$0.66
USB,2006-06-30,$0.66
USB,2006-03-31,$0.63
USB,2005-12-31,$0.63
USB,2005-09-30,$0.62
USB,2005-06-30,$0.60
USB,2005-03-31,$0.57
NTRS,2020-12-31,$1.13
NTRS,2020-09-30,$1.32
NTRS,2020-06-30,$1.46
NTRS,2020-03-31,$1.55
NTRS,2019-12-31,$1.71
NTRS,2019-09-30,$1.69
NTRS,2019-06-30,$1.75
NTRS,2019-03-31,$1.48
NTRS,2018-12-31,$1.80
NTRS,2018-09-30,$1.58
NTRS,2018-06-30,$1.68
NTRS,2018-03-31,$1.58
NTRS,2017-12-31,$1.51
NTRS,2017-09-30,$1.20
NTRS,2017-06-30,$1.12
NTRS,2017-03-31,$1.09
NTRS,2016-12-31,$1.11
NTRS,2016-09-30,$1.08
NTRS,2016-06-30,$1.10
NTRS,2016-03-31,$1.03
NTRS,2015-12-31,$0.99
NTRS,2015-09-30,$0.96
NTRS,2015-06-30,$1.10
NTRS,2015-03-31,$0.94
NTRS,2014-12-31,$0.98
NTRS,2014-09-30,$0.84
NTRS,2014-06-30,$0.75
NTRS,2014-03-31,$0.75
NTRS,2013-12-31,$0.70
NTRS,2013-09-30,$0.84
NTRS,2013-06-30,$0.78
NTRS,2013-03-31,$0.67
NTRS,2012-12-31,$0.69
NTRS,2012-09-30,$0.73
NTRS,2012-06-30,$0.73
NTRS,2012-03-31,$0.66
NTRS,2011-12-31,$0.54
NTRS,2011-09-30,$0.70
NTRS,2011-06-30,$0.62
NTRS,2011-03-31,$0.61
NTRS,2010-12-31,$0.64
NTRS,2010-09-30,$0.64
NTRS,2010-06-30,$0.82
NTRS,2010-03-31,$0.64
NTRS,2009-12-31,$0.83
NTRS,2009-09-30,$0.77
NTRS,2009-06-30,$0.95
NTRS,2009-03-31,$0.61
NTRS,2008-12-31,$1.46
NTRS,2008-09-30,$-0.66
NTRS,2008-06-30,$0.96
NTRS,2008-03-31,$1.71
NTRS,2007-12-31,$0.54
NTRS,2007-09-30,$0.93
NTRS,2007-06-30,$0.92
NTRS,2007-03-31,$0.84
NTRS,2006-12-31,$0.76
NTRS,2006-09-30,$0.74
NTRS,2006-06-30,$0.76
NTRS,2006-03-31,$0.74
NTRS,2005-12-31,$0.66
NTRS,2005-09-30,$0.67
NTRS,2005-06-30,$0.68
NTRS,2005-03-31,$0.63
KKR,2020-12-31,$2.65
KKR,2020-09-30,$1.79
KKR,2020-06-30,$1.24
KKR,2020-03-31,$-2.31
KKR,2019-12-31,$0.91
KKR,2019-09-30,$0.43
KKR,2019-06-30,$0.93
KKR,2019-03-31,$1.27
KKR,2018-12-31,$-0.74
KKR,2018-09-30,$1.17
KKR,2018-06-30,$1.24
KKR,2018-03-31,$0.32
KKR,2017-12-31,$0.32
KKR,2017-09-30,$0.30
KKR,2017-06-30,$0.81
KKR,2017-03-31,$0.52
KKR,2016-12-31,$0.40
KKR,2016-09-30,$0.73
KKR,2016-06-30,$0.19
KKR,2016-03-31,$-0.73
KKR,2015-12-31,$0.08
KKR,2015-09-30,$-0.42
KKR,2015-06-30,$0.78
KKR,2015-03-31,$0.57
KKR,2014-12-31,$-0.12
KKR,2014-09-30,$0.20
KKR,2014-06-30,$0.43
KKR,2014-03-31,$0.65
KKR,2013-12-31,$0.90
KKR,2013-09-30,$0.66
KKR,2013-06-30,$0.05
KKR,2013-03-31,$0.69
KKR,2012-12-31,$0.34
KKR,2012-09-30,$0.49
KKR,2012-06-30,$0.58
KKR,2012-03-31,$0.80
KKR,2011-12-31,$0.17
KKR,2011-09-30,$-1.09
KKR,2011-06-30,$0.18
KKR,2011-03-31,$0.75
KKR,2010-12-31,$0.87
KKR,2010-09-30,$0.04
KKR,2010-06-30,$0.15
KKR,2010-03-31,$0.56
KKR,2009-12-31,$0.00
KKR,2009-09-30,$0.00
KKR,2009-06-30,$0.00
KKR,2008-12-31,$0.00
L,2020-12-31,$1.34
L,2020-09-30,$0.50
L,2020-06-30,$-2.96
L,2020-03-31,$-2.20
L,2019-12-31,$0.74
L,2019-09-30,$0.24
L,2019-06-30,$0.82
L,2019-03-31,$1.27
L,2018-12-31,$-0.50
L,2018-09-30,$0.88
L,2018-06-30,$0.72
L,2018-03-31,$0.89
L,2017-12-31,$1.43
L,2017-09-30,$0.46
L,2017-06-30,$0.69
L,2017-03-31,$0.87
L,2016-12-31,$0.85
L,2016-09-30,$0.97
L,2016-06-30,$-0.19
L,2016-03-31,$0.30
L,2015-12-31,$-0.53
L,2015-09-30,$0.50
L,2015-06-30,$0.46
L,2015-03-31,$0.29
L,2014-12-31,$0.55
L,2014-09-30,$0.55
L,2014-06-30,$0.30
L,2014-03-31,$0.15
L,2013-12-31,$-0.51
L,2013-09-30,$0.73
L,2013-06-30,$0.69
L,2013-03-31,$0.62
L,2012-12-31,$-0.08
L,2012-09-30,$0.45
L,2012-06-30,$0.14
L,2012-03-31,$0.92
L,2011-12-31,$0.69
L,2011-09-30,$0.40
L,2011-06-30,$0.61
L,2011-03-31,$0.92
L,2010-12-31,$1.12
L,2010-09-30,$0.09
L,2010-06-30,$0.87
L,2010-03-31,$0.99
L,2009-12-31,$0.93
L,2009-09-30,$1.08
L,2009-06-30,$0.78
L,2009-03-31,$-1.49
L,2008-12-31,$-1.23
L,2008-09-30,$-0.31
L,2008-06-30,$9.54
L,2008-03-31,$1.05
L,2007-12-31,$0.72
L,2007-09-30,$0.77
L,2007-06-30,$0.95
L,2007-03-31,$1.20
L,2006-12-31,$1.11
L,2006-09-30,$0.94
L,2006-06-30,$0.85
L,2006-03-31,$0.85
L,2005-12-31,$0.08
L,2005-09-30,$0.42
L,2005-06-30,$0.68
L,2005-03-31,$0.54
PRU,2020-12-31,$2.12
PRU,2020-09-30,$3.70
PRU,2020-06-30,$-6.12
PRU,2020-03-31,$-0.70
PRU,2019-12-31,$2.74
PRU,2019-09-30,$3.44
PRU,2019-06-30,$1.71
PRU,2019-03-31,$2.22
PRU,2018-12-31,$2.00
PRU,2018-09-30,$3.90
PRU,2018-06-30,$0.46
PRU,2018-03-31,$3.14
PRU,2017-12-31,$8.56
PRU,2017-09-30,$5.09
PRU,2017-06-30,$1.12
PRU,2017-03-31,$3.09
PRU,2016-12-31,$0.67
PRU,2016-09-30,$4.07
PRU,2016-06-30,$2.04
PRU,2016-03-31,$2.93
PRU,2015-12-31,$1.61
PRU,2015-09-30,$3.16
PRU,2015-06-30,$3.03
PRU,2015-03-31,$4.37
PRU,2014-12-31,$-2.57
PRU,2014-09-30,$0.99
PRU,2014-06-30,$2.22
PRU,2014-03-31,$2.59
PRU,2013-12-31,$-0.89
PRU,2013-09-30,$2.04
PRU,2013-06-30,$-1.12
PRU,2013-03-31,$-1.58
PRU,2012-12-31,$-0.27
PRU,2012-09-30,$-1.34
PRU,2012-06-30,$4.69
PRU,2012-03-31,$-2.03
PRU,2011-12-31,$1.26
PRU,2011-09-30,$3.18
PRU,2011-06-30,$1.58
PRU,2011-03-31,$1.10
PRU,2010-12-31,$0.01
PRU,2010-09-30,$2.46
PRU,2010-06-30,$1.70
PRU,2010-03-31,$1.15
PRU,2009-12-31,$4.02
PRU,2009-09-30,$2.35
PRU,2009-06-30,$1.25
PRU,2009-03-31,$0.01
PRU,2008-12-31,$-3.78
PRU,2008-09-30,$-0.25
PRU,2008-06-30,$1.32
PRU,2008-03-31,$0.18
PRU,2007-12-31,$1.65
PRU,2007-09-30,$1.88
PRU,2007-06-30,$1.80
PRU,2007-03-31,$2.18
PRU,2006-12-31,$1.85
PRU,2006-09-30,$2.38
PRU,2006-06-30,$0.89
PRU,2006-03-31,$1.38
PRU,2005-12-31,$0.78
PRU,2005-09-30,$2.59
PRU,2005-06-30,$1.48
PRU,2005-03-31,$1.49
TRV,2020-12-31,$5.12
TRV,2020-09-30,$3.23
TRV,2020-06-30,$-0.16
TRV,2020-03-31,$2.33
TRV,2019-12-31,$3.33
TRV,2019-09-30,$1.50
TRV,2019-06-30,$2.10
TRV,2019-03-31,$2.99
TRV,2018-12-31,$2.32
TRV,2018-09-30,$2.62
TRV,2018-06-30,$1.92
TRV,2018-03-31,$2.42
TRV,2017-12-31,$2.00
TRV,2017-09-30,$1.05
TRV,2017-06-30,$2.11
TRV,2017-03-31,$2.17
TRV,2016-12-31,$3.29
TRV,2016-09-30,$2.45
TRV,2016-06-30,$2.24
TRV,2016-03-31,$2.30
TRV,2015-12-31,$2.83
TRV,2015-09-30,$2.97
TRV,2015-06-30,$2.53
TRV,2015-03-31,$2.55
TRV,2014-12-31,$3.11
TRV,2014-09-30,$2.69
TRV,2014-06-30,$1.95
TRV,2014-03-31,$2.95
TRV,2013-12-31,$2.70
TRV,2013-09-30,$2.30
TRV,2013-06-30,$2.41
TRV,2013-03-31,$2.33
TRV,2012-12-31,$0.81
TRV,2012-09-30,$2.21
TRV,2012-06-30,$1.26
TRV,2012-03-31,$2.02
TRV,2011-12-31,$1.53
TRV,2011-09-30,$0.79
TRV,2011-06-30,$-0.88
TRV,2011-03-31,$1.92
TRV,2010-12-31,$1.91
TRV,2010-09-30,$2.11
TRV,2010-06-30,$1.35
TRV,2010-03-31,$1.25
TRV,2009-12-31,$2.30
TRV,2009-09-30,$1.65
TRV,2009-06-30,$1.27
TRV,2009-03-31,$1.11
TRV,2008-12-31,$1.37
TRV,2008-09-30,$0.36
TRV,2008-06-30,$1.54
TRV,2008-03-31,$1.54
TRV,2007-12-31,$1.62
TRV,2007-09-30,$1.81
TRV,2007-06-30,$1.86
TRV,2007-03-31,$1.56
TRV,2006-12-31,$1.67
TRV,2006-09-30,$1.47
TRV,2006-06-30,$1.36
TRV,2006-03-31,$1.41
TRV,2005-12-31,$0.27
TRV,2005-09-30,$0.23
TRV,2005-06-30,$1.52
TRV,2005-03-31,$0.31
BEN,2020-12-31,$0.67
BEN,2020-09-30,$0.15
BEN,2020-06-30,$0.58
BEN,2020-03-31,$0.16
BEN,2019-12-31,$0.70
BEN,2019-09-30,$0.61
BEN,2019-06-30,$0.48
BEN,2019-03-31,$0.72
BEN,2018-12-31,$0.54
BEN,2018-09-30,$0.92
BEN,2018-06-30,$0.75
BEN,2018-03-31,$0.78
BEN,2017-12-31,$-1.06
BEN,2017-09-30,$0.77
BEN,2017-06-30,$0.73
