255;IVZ;NYK;18.05.2015;fraud;-2;2;-4;6
258;IVZ;NYK;03.08.2015;fraud;-2;2;-4;6
260;JEF;NYK;23.07.2014;fraud;-2;2;-4;6
265;JEF;NYK;13.03.2013;fraud;-2;2;-4;6
266;JEF;NYK;18.02.2014;fraud;-2;2;-4;6
269;JEF;NYK;26.02.2014;fraud;-2;2;-4;6
270;JPM;NYK;21.07.2015;fraud;-2;2;-4;6
271;JPM;NYK;05.02.2020;fraud;-2;2;-4;6
276;JPM;NYK;13.04.2021;fraud;-2;2;-4;6
277;JPM;NYK;07.07.2014;fraud;-2;2;-4;6
281;MMC;NYK;13.04.2021;fraud;-2;2;-4;6
285;MMC;NYK;22.03.2021;fraud;-2;2;-4;6
289;MMC;NYK;01.02.2017;fraud;-2;2;-4;6
290;NDAQ;NYK;01.11.2018;fraud;-2;2;-4;6
294;NDAQ;NYK;27.09.2019;fraud;-2;2;-4;6
299;NDAQ;NYK;22.03.2021;fraud;-2;2;-4;6
300;PGR;NYK;22.03.2021;fraud;-2;2;-4;6
307;PGR;NYK;13.04.2021;fraud;-2;2;-4;6
308;PGR;NYK;09.04.2021;fraud;-2;2;-4;6
313;PNC;NYK;13.04.2021;fraud;-2;2;-4;6
315;PNC;NYK;12.04.2021;fraud;-2;2;-4;6
318;PNC;NYK;22.03.2021;fraud;-2;2;-4;6
324;PRI;NYK;12.04.2021;fraud;-2;2;-4;6
327;PRI;NYK;14.04.2021;fraud;-2;2;-4;6
328;PRI;NYK;13.04.2021;fraud;-2;2;-4;6
330;PSEC;NYK;07.10.2020;fraud;-2;2;-4;6
333;PSEC;NYK;14.04.2021;fraud;-2;2;-4;6
334;PSEC;NYK;27.02.2018;fraud;-2;2;-4;6
335;PSEC;NYK;13.04.2021;fraud;-2;2;-4;6
336;PSEC;NYK;13.04.2021;fraud;-2;2;-4;6
339;PSEC;NYK;04.03.2021;fraud;-2;2;-4;6
340;RGA;NYK;24.10.2019;fraud;-2;2;-4;6
347;RGA;NYK;16.01.2014;fraud;-2;2;-4;6
350;RJF;NYK;14.04.2021;fraud;-2;2;-4;6
353;RJF;NYK;13.04.2021;fraud;-2;2;-4;6
354;RJF;NYK;12.04.2021;fraud;-2;2;-4;6
355;RJF;NYK;14.04.2021;fraud;-2;2;-4;6
360;RLI;NYK;14.04.2021;fraud;-2;2;-4;6
363;RLI;NYK;12.04.2021;fraud;-2;2;-4;6
364;RLI;NYK;13.04.2021;fraud;-2;2;-4;6
371;SCHW;NYK;01.05.2013;fraud;-2;2;-4;6
380;SF;NYK;10.08.2011;fraud;-2;2;-4;6
393;SIGI;NYK;13.04.2021;fraud;-2;2;-4;6
