Unum Group Debt/Equity Ratio Historical Data,Unum Group Debt/Equity Ratio Historical Data,Unum Group Debt/Equity Ratio Historical Data,Unum Group Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$59.76B,$10.87B,5.5
2020-09-30,$58.72B,$10.89B,5.39
2020-06-30,$58.74B,$10.56B,5.56
2020-03-31,$55.53B,$9.80B,5.67
2019-12-31,$57.05B,$9.97B,5.73
2019-09-30,$57.32B,$9.63B,5.95
2019-06-30,$56.39B,$9.45B,5.97
2019-03-31,$54.86B,$9.06B,6.06
2018-12-31,$53.25B,$8.62B,6.18
2018-09-30,$53.73B,$8.52B,6.31
2018-06-30,$52.92B,$9.45B,5.6
2018-03-31,$53.51B,$9.50B,5.63
2017-12-31,$54.44B,$9.58B,5.69
2017-09-30,$54.36B,$9.45B,5.75
2017-06-30,$54.07B,$9.32B,5.8
2017-03-31,$53.42B,$9.11B,5.87
2016-12-31,$52.97B,$8.97B,5.91
2016-09-30,$54.54B,$9.36B,5.83
2016-06-30,$54.70B,$9.16B,5.97
2016-03-31,$53.05B,$8.92B,5.95
2015-12-31,$51.90B,$8.66B,5.99
2015-09-30,$52.92B,$8.58B,6.17
2015-06-30,$53.19B,$8.52B,6.25
2015-03-31,$54.33B,$8.69B,6.25
2014-12-31,$53.93B,$8.52B,6.33
2014-09-30,$52.72B,$9.24B,5.7
2014-06-30,$52.97B,$9.24B,5.73
2014-03-31,$52.12B,$8.96B,5.82
2013-12-31,$50.75B,$8.66B,5.86
2013-09-30,$50.92B,$8.67B,5.87
2013-06-30,$50.99B,$8.38B,6.08
2013-03-31,$53.05B,$8.56B,6.2
2012-12-31,$53.62B,$8.61B,6.23
2012-09-30,$53.45B,$8.67B,6.16
2012-06-30,$52.29B,$8.39B,6.24
2012-03-31,$51.39B,$8.18B,6.28
2011-12-31,$51.39B,$8.17B,6.29
2011-09-30,$50.58B,$9.46B,5.35
2011-06-30,$48.93B,$9.08B,5.39
2011-03-31,$48.13B,$8.98B,5.36
2010-12-31,$48.36B,$8.94B,5.41
2010-09-30,$50.13B,$8.92B,5.62
2010-06-30,$47.92B,$8.87B,5.4
2010-03-31,$46.22B,$8.78B,5.26
2009-12-31,$45.98B,$8.50B,5.41
2009-09-30,$46.23B,$8.24B,5.61
2009-06-30,$43.86B,$7.48B,5.87
2009-03-31,$42.76B,$6.42B,6.66
2008-12-31,$43.02B,$6.40B,6.72
2008-09-30,$43.20B,$6.74B,6.41
2008-06-30,$44.10B,$7.66B,5.75
2008-03-31,$44.43B,$7.64B,5.82
2007-12-31,$44.66B,$8.04B,5.56
2007-09-30,$44.74B,$7.83B,5.71
2007-06-30,$44.70B,$7.37B,6.06
2007-03-31,$44.95B,$7.38B,6.09
2006-12-31,$45.11B,$7.72B,5.84
2006-09-30,$44.58B,$7.59B,5.87
2006-06-30,$43.42B,$6.99B,6.21
2006-03-31,$43.90B,$6.57B,6.68
2005-12-31,$44.50B,$7.36B,6.04
2005-09-30,$43.91B,$7.24B,6.07
2005-06-30,$44.58B,$7.86B,5.68
2005-03-31,$43.78B,$7.05B,6.21
