Ares Capital Debt/Equity Ratio Historical Data,Ares Capital Debt/Equity Ratio Historical Data,Ares Capital Debt/Equity Ratio Historical Data,Ares Capital Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$9.02B,$7.18B,1.26
2020-09-30,$7.99B,$6.96B,1.15
2020-06-30,$7.83B,$6.69B,1.17
2020-03-31,$9.22B,$6.58B,1.4
2019-12-31,$7.44B,$7.47B,1.0
2019-09-30,$7.09B,$7.37B,0.96
2019-06-30,$6.48B,$7.37B,0.88
2019-03-31,$6.62B,$7.34B,0.9
2018-12-31,$5.60B,$7.30B,0.77
2018-09-30,$4.94B,$7.31B,0.68
2018-06-30,$5.03B,$7.27B,0.69
2018-03-31,$5.52B,$7.18B,0.77
2017-12-31,$5.25B,$7.10B,0.74
2017-09-30,$5.01B,$7.03B,0.71
2017-06-30,$5.28B,$7.05B,0.75
2017-03-31,$4.96B,$7.04B,0.7
2016-12-31,$4.08B,$5.17B,0.79
2016-09-30,$3.93B,$5.21B,0.75
2016-06-30,$3.99B,$5.22B,0.77
2016-03-31,$4.19B,$5.18B,0.81
2015-12-31,$4.33B,$5.17B,0.84
2015-09-30,$3.89B,$5.28B,0.74
2015-06-30,$3.84B,$5.28B,0.73
2015-03-31,$3.66B,$5.26B,0.7
2014-12-31,$4.21B,$5.28B,0.8
2014-09-30,$3.95B,$5.25B,0.75
2014-06-30,$3.63B,$4.93B,0.74
2014-03-31,$3.30B,$4.90B,0.67
2013-12-31,$3.24B,$4.90B,0.66
2013-09-30,$3.36B,$4.39B,0.77
2013-06-30,$2.78B,$4.35B,0.64
2013-03-31,$2.37B,$3.98B,0.6
2012-12-31,$2.41B,$3.99B,0.61
2012-09-30,$2.39B,$3.91B,0.61
2012-06-30,$2.36B,$3.45B,0.69
2012-03-31,$2.18B,$3.43B,0.63
2011-12-31,$2.24B,$3.15B,0.71
2011-09-30,$1.94B,$3.10B,0.63
2011-06-30,$1.78B,$3.13B,0.57
2011-03-31,$1.54B,$3.16B,0.49
2010-12-31,$1.51B,$3.05B,0.5
2010-09-30,$1.65B,$2.78B,0.6
2010-06-30,$1.36B,$2.71B,0.5
2010-03-31,$0.81B,$1.57B,0.52
2009-12-31,$1.06B,$1.26B,0.84
2009-09-30,$0.84B,$1.22B,0.69
2009-06-30,$0.96B,$1.09B,0.88
2009-03-31,$0.96B,$1.09B,0.88
2008-12-31,$1.00B,$1.10B,0.91
2008-09-30,$0.94B,$1.25B,0.75
2008-06-30,$0.87B,$1.33B,0.66
2008-03-31,$0.89B,$1.11B,0.81
2007-12-31,$0.71B,$1.13B,0.63
2007-09-30,$0.55B,$1.14B,0.48
2007-06-30,$0.60B,$1.11B,0.54
2007-03-31,$0.69B,$0.83B,0.83
2006-12-31,$0.56B,$0.79B,0.71
2006-09-30,$0.38B,$0.74B,0.52
2006-06-30,$0.37B,$0.58B,0.63
2006-03-31,$0.21B,$0.57B,0.36
2005-12-31,$0.04B,$0.57B,0.08
2005-09-30,$0.09B,$0.35B,0.26
2005-06-30,$0.01B,$0.35B,0.04
2005-03-31,$0.01B,$0.35B,0.04
