Nasdaq Debt/Equity Ratio Historical Data,Nasdaq Debt/Equity Ratio Historical Data,Nasdaq Debt/Equity Ratio Historical Data,Nasdaq Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$11.54B,$6.44B,1.79
2020-09-30,$8.82B,$6.01B,1.47
2020-06-30,$8.80B,$5.76B,1.53
2020-03-31,$9.40B,$5.40B,1.74
2019-12-31,$8.29B,$5.64B,1.47
2019-09-30,$7.65B,$5.33B,1.44
2019-06-30,$8.58B,$5.55B,1.55
2019-03-31,$9.01B,$5.49B,1.64
2018-12-31,$10.25B,$5.45B,1.88
2018-09-30,$9.25B,$5.60B,1.65
2018-06-30,$9.60B,$5.54B,1.73
2018-03-31,$10.07B,$5.73B,1.76
2017-12-31,$9.47B,$5.88B,1.61
2017-09-30,$9.34B,$5.74B,1.63
2017-06-30,$9.08B,$5.58B,1.63
2017-03-31,$9.14B,$5.35B,1.71
2016-12-31,$8.72B,$5.43B,1.61
2016-09-30,$9.05B,$5.75B,1.57
2016-06-30,$9.38B,$5.72B,1.64
2016-03-31,$8.02B,$5.70B,1.41
2015-12-31,$6.25B,$5.61B,1.12
2015-09-30,$6.22B,$5.55B,1.12
2015-06-30,$6.39B,$5.72B,1.12
2015-03-31,$6.70B,$5.55B,1.21
2014-12-31,$6.28B,$5.79B,1.08
2014-09-30,$6.57B,$6.12B,1.08
2014-06-30,$6.91B,$6.21B,1.11
2014-03-31,$6.74B,$6.24B,1.08
2013-12-31,$6.39B,$6.18B,1.03
2013-09-30,$6.43B,$6.06B,1.06
2013-06-30,$6.09B,$5.86B,1.04
2013-03-31,$3.99B,$5.20B,0.77
2012-12-31,$3.92B,$5.21B,0.75
2012-09-30,$3.78B,$5.14B,0.74
2012-06-30,$3.96B,$4.97B,0.8
2012-03-31,$3.86B,$5.16B,0.75
2011-12-31,$9.11B,$4.99B,1.83
2011-09-30,$8.16B,$5.00B,1.63
2011-06-30,$9.06B,$5.16B,1.76
2011-03-31,$13.03B,$5.04B,2.59
2010-12-31,$11.48B,$4.73B,2.43
2010-09-30,$5.28B,$5.08B,1.04
2010-06-30,$5.22B,$4.69B,1.11
2010-03-31,$5.59B,$4.93B,1.13
2009-12-31,$5.78B,$4.94B,1.17
2009-09-30,$7.37B,$4.97B,1.48
2009-06-30,$7.15B,$4.51B,1.58
2009-03-31,$8.20B,$4.26B,1.93
2008-12-31,$8.45B,$4.30B,1.96
2008-09-30,$5.46B,$4.76B,1.15
2008-06-30,$4.25B,$4.72B,0.9
2008-03-31,$4.18B,$4.61B,0.91
2007-12-31,$0.77B,$2.21B,0.35
2007-09-30,$1.22B,$1.78B,0.69
2007-06-30,$2.40B,$1.60B,1.5
2007-03-31,$2.33B,$1.44B,1.61
2006-12-31,$2.26B,$1.46B,1.55
2006-09-30,$2.23B,$1.32B,1.69
2006-06-30,$2.24B,$1.18B,1.9
2006-03-31,$1.83B,$0.52B,3.5
2005-12-31,$1.79B,$0.25B,7.09
2005-09-30,$0.91B,$0.21B,4.43
2005-06-30,$0.91B,$0.16B,5.55
2005-03-31,$0.72B,$0.17B,4.27
