RLI Debt/Equity Ratio Historical Data,RLI Debt/Equity Ratio Historical Data,RLI Debt/Equity Ratio Historical Data,RLI Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$2.80B,$1.14B,2.47
2020-09-30,$2.69B,$1.10B,2.45
2020-06-30,$2.57B,$1.05B,2.44
2020-03-31,$2.46B,$0.92B,2.69
2019-12-31,$2.55B,$1.00B,2.56
2019-09-30,$2.51B,$1.00B,2.51
2019-06-30,$2.42B,$0.96B,2.52
2019-03-31,$2.34B,$0.90B,2.62
2018-12-31,$2.30B,$0.81B,2.85
2018-09-30,$2.20B,$0.87B,2.53
2018-06-30,$2.16B,$0.85B,2.54
2018-03-31,$2.06B,$0.83B,2.48
2017-12-31,$2.09B,$0.85B,2.45
2017-09-30,$2.08B,$0.88B,2.36
2017-06-30,$2.00B,$0.88B,2.28
2017-03-31,$1.93B,$0.85B,2.28
2016-12-31,$1.95B,$0.82B,2.37
2016-09-30,$1.99B,$0.92B,2.16
2016-06-30,$1.98B,$0.91B,2.17
2016-03-31,$1.89B,$0.87B,2.16
2015-12-31,$1.91B,$0.82B,2.32
2015-09-30,$1.95B,$0.88B,2.2
2015-06-30,$1.95B,$0.87B,2.24
2015-03-31,$1.92B,$0.86B,2.23
2014-12-31,$1.93B,$0.85B,2.28
2014-09-30,$2.00B,$0.93B,2.14
2014-06-30,$1.99B,$0.92B,2.16
2014-03-31,$1.92B,$0.87B,2.21
2013-12-31,$1.91B,$0.83B,2.31
2013-09-30,$2.03B,$0.86B,2.38
2013-06-30,$1.85B,$0.83B,2.25
2013-03-31,$1.79B,$0.83B,2.14
2012-12-31,$1.85B,$0.80B,2.32
2012-09-30,$1.86B,$0.89B,2.08
2012-06-30,$1.84B,$0.85B,2.15
2012-03-31,$1.85B,$0.83B,2.23
2011-12-31,$1.86B,$0.79B,2.35
2011-09-30,$1.93B,$0.87B,2.22
2011-06-30,$1.87B,$0.86B,2.16
2011-03-31,$1.70B,$0.82B,2.08
2010-12-31,$1.72B,$0.79B,2.18
2010-09-30,$1.76B,$0.91B,1.93
2010-06-30,$1.75B,$0.86B,2.04
2010-03-31,$1.72B,$0.85B,2.03
2009-12-31,$1.71B,$0.83B,2.05
2009-09-30,$1.74B,$0.83B,2.1
2009-06-30,$1.72B,$0.76B,2.25
2009-03-31,$1.69B,$0.71B,2.37
2008-12-31,$1.71B,$0.71B,2.42
2008-09-30,$1.79B,$0.72B,2.49
2008-06-30,$1.86B,$0.74B,2.51
2008-03-31,$1.86B,$0.75B,2.49
2007-12-31,$1.85B,$0.77B,2.39
2007-09-30,$1.99B,$0.82B,2.43
2007-06-30,$2.02B,$0.78B,2.58
2007-03-31,$1.98B,$0.77B,2.59
2006-12-31,$2.02B,$0.76B,2.66
2006-09-30,$2.06B,$0.71B,2.91
2006-06-30,$2.01B,$0.67B,2.99
2006-03-31,$2.04B,$0.70B,2.91
2005-12-31,$2.04B,$0.69B,2.95
2005-09-30,$1.98B,$0.69B,2.89
2005-06-30,$1.91B,$0.68B,2.82
2005-03-31,$1.89B,$0.63B,2.99
