Date,Shares
2020-12-31,4134
2020-09-30,4132
2020-06-30,4106
2020-03-31,4135
2019-12-31,4425
2019-09-30,4390
2019-06-30,4495
2019-03-31,4584
2018-12-31,4838
2018-09-30,4823
2018-06-30,4900
2018-03-31,4931
2017-12-31,5017
2017-09-30,4997
2017-06-30,5038
2017-03-31,5070
2016-12-31,5108
2016-09-30,5095
2016-06-30,5118
2016-03-31,5139
2015-12-31,5210
2015-09-30,5194
2015-06-30,5221
2015-03-31,5244
2014-12-31,5324
2014-09-30,5310
2014-06-30,5351
2014-03-31,5353
2013-12-31,5371
2013-09-30,5382
2013-06-30,5385
2013-03-31,5354
2012-12-31,5352
2012-09-30,5356
2012-06-30,5370
2012-03-31,5338
2011-12-31,5323
2011-09-30,5319
2011-06-30,5332
2011-03-31,5333
2010-12-31,5263
2010-09-30,5273
2010-06-30,5261
2010-03-31,5225
2009-12-31,4563
2009-09-30,4706
2009-06-30,4502
2009-03-31,4249
2008-12-31,3391
2008-09-30,3331
2008-06-30,3321
2008-03-31,3318
2007-12-31,3383
2007-09-30,3374
2007-06-30,3389
2007-03-31,3416
2006-12-31,3410
2006-09-30,3416
2006-06-30,3404
2006-03-31,3396
2005-12-31,3411
2005-09-30,3411
2005-06-30,3414
2005-03-31,3431
