Discover Financial Services Debt/Equity Ratio Historical Data,Discover Financial Services Debt/Equity Ratio Historical Data,Discover Financial Services Debt/Equity Ratio Historical Data,Discover Financial Services Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$102.01B,$10.88B,9.37
2020-09-30,$114.10B,$10.25B,11.13
2020-06-30,$104.15B,$9.64B,10.8
2020-03-31,$102.99B,$9.67B,10.66
2019-12-31,$102.14B,$11.86B,8.61
2019-09-30,$99.07B,$11.72B,8.46
2019-06-30,$99.21B,$11.49B,8.63
2019-03-31,$99.46B,$11.26B,8.83
2018-12-31,$98.42B,$11.13B,8.84
2018-09-30,$94.83B,$11.02B,8.61
2018-06-30,$91.86B,$10.89B,8.44
2018-03-31,$91.10B,$10.87B,8.38
2017-12-31,$89.20B,$10.89B,8.19
2017-09-30,$86.42B,$11.19B,7.73
2017-06-30,$82.50B,$11.26B,7.33
2017-03-31,$83.53B,$11.27B,7.42
2016-12-31,$80.99B,$11.32B,7.15
2016-09-30,$79.19B,$11.35B,6.98
2016-06-30,$76.11B,$11.40B,6.68
2016-03-31,$76.78B,$11.32B,6.79
2015-12-31,$75.52B,$11.28B,6.7
2015-09-30,$74.31B,$11.30B,6.57
2015-06-30,$73.65B,$11.26B,6.54
2015-03-31,$72.97B,$11.21B,6.51
2014-12-31,$71.99B,$11.13B,6.47
2014-09-30,$69.30B,$11.30B,6.13
2014-06-30,$67.56B,$11.38B,5.94
2014-03-31,$68.56B,$11.02B,6.22
2013-12-31,$68.53B,$10.81B,6.34
2013-09-30,$64.94B,$10.60B,6.13
2013-06-30,$64.50B,$10.45B,6.17
2013-03-31,$65.84B,$10.30B,6.39
2012-12-31,$63.62B,$9.87B,6.44
2012-11-30,$65.51B,$9.78B,6.7
2012-09-30,$0.00B,,0.0
2012-08-31,$64.76B,$9.15B,7.08
2012-06-30,$0.00B,,0.0
2012-05-31,$63.19B,$8.90B,7.1
2012-03-31,$0.00B,,0.0
2012-02-29,$61.66B,$8.83B,6.98
2011-11-30,$60.54B,$8.24B,7.35
2011-08-31,$57.72B,$8.01B,7.21
2011-05-31,$55.91B,$7.52B,7.43
2011-02-28,$56.61B,$6.90B,8.21
2010-11-30,$54.33B,$6.46B,8.41
2010-08-31,$53.95B,$6.11B,8.83
2010-05-31,$56.12B,$6.04B,9.29
2010-02-28,$59.80B,$7.02B,8.53
2009-11-30,$37.59B,$8.44B,4.46
2009-08-31,$34.31B,$8.39B,4.09
2009-05-31,$34.10B,$7.42B,4.6
2009-02-28,$34.61B,$6.00B,5.77
2008-11-30,$33.98B,$5.92B,5.74
2008-08-31,$31.32B,$6.00B,5.22
2008-05-31,$28.38B,$5.85B,4.85
2008-02-29,$31.67B,$5.65B,5.6
2007-11-30,$31.78B,$5.60B,5.68
2007-08-31,$30.47B,$5.67B,5.38
2007-05-31,$29.89B,$5.78B,5.17
2007-03-31,$0.00B,,0.0
2007-02-28,$0.00B,,0.0
2006-11-30,$23.29B,$5.78B,4.03
2006-09-30,$0.00B,,0.0
2006-08-31,$0.00B,,0.0
2006-06-30,$0.00B,,0.0
2006-05-31,$0.00B,,0.0
