Date,EBIT
2020-12-31,$404
2020-09-30,$353
2020-06-30,$255
2020-03-31,$102
2019-12-31,$320
2019-09-30,$277
2019-06-30,$258
2019-03-31,$168
2018-12-31,$148
2018-09-30,$225
2018-06-30,$229
2018-03-31,$118
2017-12-31,$186
2017-09-30,$47
2017-06-30,$210
2017-03-31,$108
2016-12-31,$108
2016-09-30,$193
2016-06-30,$177
2016-03-31,$98
2015-12-31,$141
2015-09-30,$140
2015-06-30,$165
2015-03-31,$80
2014-12-31,$144
2014-09-30,$136
2014-06-30,$95
2014-03-31,$51
2013-12-31,$103
2013-09-30,$127
2013-06-30,$78
2013-03-31,$75
2012-12-31,$164
2012-09-30,$171
2012-06-30,$127
2012-03-31,$65
2011-12-31,$80
2011-09-30,$57
2011-06-30,$61
2011-03-31,$-11
2010-12-31,$89
2010-09-30,$70
2010-06-30,$70
2010-03-31,$36
2009-12-31,$533
2009-09-30,$84
2009-06-30,$79
2009-03-31,$24
2008-12-31,
