First Republic Bank Debt/Equity Ratio Historical Data,First Republic Bank Debt/Equity Ratio Historical Data,First Republic Bank Debt/Equity Ratio Historical Data,First Republic Bank Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$130.75B,$11.75B,11.13
2020-09-30,$121.88B,$11.35B,10.74
2020-06-30,$117.73B,$10.58B,11.13
2020-03-31,$113.56B,$10.36B,10.96
2019-12-31,$106.41B,$9.85B,10.8
2019-09-30,$101.60B,$9.43B,10.77
2019-06-30,$96.48B,$9.22B,10.47
2019-03-31,$92.80B,$9.05B,10.26
2018-12-31,$90.53B,$8.68B,10.43
2018-09-30,$87.43B,$8.67B,10.09
2018-06-30,$85.58B,$8.28B,10.34
2018-03-31,$82.39B,$7.84B,10.51
2017-12-31,$79.96B,$7.82B,10.23
2017-09-30,$76.89B,$7.43B,10.35
2017-06-30,$73.72B,$7.26B,10.15
2017-03-31,$69.42B,$7.09B,9.79
2016-12-31,$66.37B,$6.91B,9.61
2016-09-30,$61.55B,$6.44B,9.55
2016-06-30,$58.42B,$6.31B,9.26
2016-03-31,$56.12B,$5.99B,9.38
2015-12-31,$53.28B,$5.71B,9.34
2015-09-30,$49.99B,$5.38B,9.29
2015-06-30,$47.85B,$5.27B,9.09
2015-03-31,$45.99B,$5.08B,9.06
2014-12-31,$43.57B,$4.78B,9.12
2014-09-30,$42.00B,$4.69B,8.96
2014-06-30,$41.64B,$4.59B,9.07
2014-03-31,$39.85B,$4.49B,8.87
2013-12-31,$37.95B,$4.16B,9.12
2013-09-30,$37.07B,$3.88B,9.56
2013-06-30,$33.53B,$3.79B,8.85
2013-03-31,$31.57B,$3.52B,8.97
2012-12-31,$30.99B,$3.40B,9.11
2012-09-30,$29.41B,$3.16B,9.3
2012-06-30,$27.93B,$3.06B,9.14
2012-03-31,$26.86B,$2.86B,9.38
2011-12-31,$25.20B,$2.60B,9.71
2011-09-30,$24.29B,$2.49B,9.76
2011-06-30,$21.40B,$2.40B,8.92
2011-03-31,$21.26B,$2.32B,9.17
2010-12-31,$20.15B,$2.23B,9.06
2010-09-30,$0.00B,$0.00B,0.0
2010-06-30,$0.00B,$0.00B,0.0
2010-03-31,$0.00B,$0.00B,0.0
2009-12-31,$18.55B,$1.40B,13.29
2008-12-31,$0.00B,$0.00B,0.0
