Investors Bancorp Debt/Equity Ratio Historical Data,Investors Bancorp Debt/Equity Ratio Historical Data,Investors Bancorp Debt/Equity Ratio Historical Data,Investors Bancorp Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$23.31B,$2.71B,8.6
2020-09-30,$23.94B,$2.67B,8.97
2020-06-30,$24.57B,$2.62B,9.37
2020-03-31,$24.08B,$2.60B,9.28
2019-12-31,$24.08B,$2.62B,9.18
2019-09-30,$23.79B,$2.93B,8.12
2019-06-30,$24.14B,$2.93B,8.25
2019-03-31,$23.59B,$2.96B,7.98
2018-12-31,$23.22B,$3.01B,7.73
2018-09-30,$22.48B,$3.04B,7.41
2018-06-30,$22.27B,$3.09B,7.21
2018-03-31,$22.13B,$3.09B,7.16
2017-12-31,$22.00B,$3.13B,7.04
2017-09-30,$21.63B,$3.16B,6.86
2017-06-30,$21.16B,$3.16B,6.71
2017-03-31,$20.73B,$3.16B,6.56
2016-12-31,$20.05B,$3.12B,6.42
2016-09-30,$19.42B,$3.12B,6.23
2016-06-30,$18.59B,$3.13B,5.93
2016-03-31,$17.97B,$3.22B,5.59
2015-12-31,$17.58B,$3.31B,5.31
2015-09-30,$16.97B,$3.36B,5.05
2015-06-30,$16.63B,$3.41B,4.88
2015-03-31,$15.81B,$3.56B,4.44
2014-12-31,$15.20B,$3.58B,4.25
2014-09-30,$14.29B,$3.55B,4.03
2014-06-30,$13.94B,$3.52B,3.96
2014-03-31,$15.03B,$1.40B,10.77
2013-12-31,$14.29B,$1.33B,10.71
2013-09-30,$12.68B,$1.13B,11.26
2013-06-30,$12.25B,$1.10B,11.18
2013-03-31,$11.75B,$1.09B,10.82
2012-12-31,$11.66B,$1.07B,10.93
2012-09-30,$10.43B,$1.05B,9.95
2012-06-30,$10.46B,$1.03B,10.2
2012-03-31,$10.27B,$1.00B,10.3
2011-12-31,$9.73B,$0.97B,10.06
2011-09-30,$9.56B,$0.95B,10.05
2011-06-30,$9.27B,$0.94B,9.86
2011-03-31,$8.91B,$0.92B,9.69
2010-12-31,$8.70B,$0.90B,9.65
2010-09-30,$8.06B,$0.90B,8.99
2010-06-30,$7.98B,$0.89B,8.97
2010-03-31,$7.88B,$0.87B,9.08
2009-12-31,$7.51B,$0.85B,8.83
2009-09-30,$7.38B,$0.83B,8.86
2009-06-30,$7.32B,$0.82B,8.93
2009-03-31,$6.60B,$0.77B,8.61
2008-12-31,$6.43B,$0.75B,8.53
2008-09-30,$6.20B,$0.84B,7.41
2008-06-30,$5.59B,$0.83B,6.75
2008-03-31,$5.10B,$0.82B,6.22
2007-12-31,$5.06B,$0.82B,6.18
2007-09-30,$5.00B,$0.83B,6.0
2007-06-30,$4.76B,$0.84B,5.64
2007-03-31,$4.62B,$0.86B,5.35
2006-12-31,$4.55B,$0.90B,5.04
2006-09-30,$4.71B,$0.92B,5.15
2006-06-30,$4.60B,$0.90B,5.11
2006-03-31,$4.34B,$0.89B,4.86
2005-12-31,$4.24B,$0.89B,4.78
2005-09-30,$5.31B,$0.41B,12.94
2005-06-30,$4.59B,$0.41B,11.24
2005-03-31,$0.00B,,0.0
