Brown & Brown Debt/Equity Ratio Historical Data,Brown & Brown Debt/Equity Ratio Historical Data,Brown & Brown Debt/Equity Ratio Historical Data,Brown & Brown Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$5.21B,$3.75B,1.39
2020-09-30,$5.09B,$3.70B,1.38
2020-06-30,$4.62B,$3.58B,1.29
2020-03-31,$4.10B,$3.48B,1.18
2019-12-31,$4.27B,$3.35B,1.28
2019-09-30,$4.37B,$3.32B,1.32
2019-06-30,$3.98B,$3.18B,1.25
2019-03-31,$3.71B,$3.10B,1.2
2018-12-31,$3.69B,$3.00B,1.23
2018-09-30,$2.86B,$2.94B,0.97
2018-06-30,$2.87B,$2.83B,1.01
2018-03-31,$2.84B,$2.77B,1.03
2017-12-31,$3.17B,$2.58B,1.23
2017-09-30,$4.93B,$2.48B,1.99
2017-06-30,$2.82B,$2.46B,1.15
2017-03-31,$2.78B,$2.42B,1.15
2016-12-31,$2.90B,$2.36B,1.23
2016-09-30,$3.20B,$2.33B,1.38
2016-06-30,$2.96B,$2.25B,1.31
2016-03-31,$2.79B,$2.20B,1.27
2015-12-31,$2.86B,$2.15B,1.33
2015-09-30,$2.82B,$2.19B,1.29
2015-06-30,$2.91B,$2.11B,1.38
2015-03-31,$2.78B,$2.06B,1.35
2014-12-31,$2.84B,$2.11B,1.35
2014-09-30,$2.84B,$2.11B,1.35
2014-06-30,$2.85B,$2.08B,1.37
2014-03-31,$1.62B,$2.05B,0.79
2013-12-31,$1.64B,$2.01B,0.82
2013-09-30,$1.59B,$1.97B,0.81
2013-06-30,$1.42B,$1.90B,0.75
2013-03-31,$1.37B,$1.86B,0.74
2012-12-31,$1.32B,$1.81B,0.73
2012-09-30,$1.37B,$1.77B,0.77
2012-06-30,$1.38B,$1.72B,0.8
2012-03-31,$1.33B,$1.69B,0.79
2011-12-31,$0.96B,$1.64B,0.59
2011-09-30,$0.95B,$1.62B,0.58
2011-06-30,$0.95B,$1.57B,0.61
2011-03-31,$0.90B,$1.54B,0.58
2010-12-31,$0.89B,$1.51B,0.59
2010-09-30,$0.91B,$1.48B,0.61
2010-06-30,$0.90B,$1.44B,0.62
2010-03-31,$0.84B,$1.41B,0.6
2009-12-31,$0.85B,$1.37B,0.62
2009-09-30,$0.88B,$1.36B,0.65
2009-06-30,$0.92B,$1.31B,0.7
2009-03-31,$0.87B,$1.28B,0.68
2008-12-31,$0.88B,$1.24B,0.71
2008-09-30,$0.89B,$1.22B,0.73
2008-06-30,$0.90B,$1.17B,0.77
2008-03-31,$0.84B,$1.14B,0.74
2007-12-31,$0.86B,$1.10B,0.79
2007-09-30,$0.84B,$1.07B,0.79
2007-06-30,$0.86B,$1.02B,0.84
2007-03-31,$0.84B,$0.98B,0.86
2006-12-31,$0.88B,$0.93B,0.95
2006-09-30,$0.91B,$0.90B,1.01
2006-06-30,$0.87B,$0.85B,1.02
2006-03-31,$0.87B,$0.81B,1.08
2005-12-31,$0.84B,$0.76B,1.11
2005-09-30,$0.79B,$0.74B,1.08
2005-06-30,$0.77B,$0.70B,1.11
2005-03-31,$0.80B,$0.66B,1.21
