Cboe Global Markets Debt/Equity Ratio Historical Data,Cboe Global Markets Debt/Equity Ratio Historical Data,Cboe Global Markets Debt/Equity Ratio Historical Data,Cboe Global Markets Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$3.17B,$3.35B,0.95
2020-09-30,$2.73B,$3.35B,0.82
2020-06-30,$2.08B,$3.29B,0.63
2020-03-31,$1.93B,$3.31B,0.58
2019-12-31,$1.76B,$3.36B,0.52
2019-09-30,$1.69B,$3.33B,0.51
2019-06-30,$1.83B,$3.33B,0.55
2019-03-31,$2.05B,$3.29B,0.62
2018-12-31,$2.08B,$3.24B,0.64
2018-09-30,$1.97B,$3.15B,0.62
2018-06-30,$2.17B,$3.15B,0.69
2018-03-31,$2.15B,$3.18B,0.68
2017-12-31,$2.16B,$3.11B,0.69
2017-09-30,$2.35B,$2.88B,0.82
2017-06-30,$2.58B,$2.82B,0.92
2017-03-31,$2.60B,$2.75B,0.95
2016-12-31,$0.16B,$0.32B,0.5
2016-09-30,$0.15B,$0.29B,0.52
2016-06-30,$0.14B,$0.27B,0.53
2016-03-31,$0.15B,$0.25B,0.59
2015-12-31,$0.13B,$0.26B,0.48
2015-09-30,$0.14B,$0.26B,0.53
2015-06-30,$0.14B,$0.23B,0.6
2015-03-31,$0.13B,$0.24B,0.54
2014-12-31,$0.13B,$0.25B,0.54
2014-09-30,$0.12B,$0.25B,0.5
2014-06-30,$0.12B,$0.26B,0.46
2014-03-31,$0.13B,$0.29B,0.44
2013-12-31,$0.16B,$0.29B,0.55
2013-09-30,$0.12B,$0.33B,0.36
2013-06-30,$0.12B,$0.31B,0.39
2013-03-31,$0.14B,$0.28B,0.49
2012-12-31,$0.10B,$0.24B,0.42
2012-09-30,$0.10B,$0.28B,0.37
2012-06-30,$0.10B,$0.24B,0.43
2012-03-31,$0.12B,$0.23B,0.53
2011-12-31,$0.09B,$0.24B,0.39
2011-09-30,$0.10B,$0.25B,0.4
2011-06-30,$0.09B,$0.23B,0.41
2011-03-31,$0.12B,$0.20B,0.58
2010-12-31,$0.08B,$0.18B,0.45
2010-09-30,$0.08B,$0.45B,0.18
2010-06-30,$0.10B,$0.42B,0.23
2010-03-31,$0.42B,$0.21B,2.0
2009-12-31,$0.38B,$0.19B,2.04
2009-09-30,$0.00B,$0.00B,0.0
2009-06-30,$0.00B,$0.00B,0.0
2009-03-31,$0.00B,$0.00B,0.0
2008-12-31,$0.00B,$0.00B,0.0
