Date,EBIT
2020-12-31,$39
2020-09-30,
2020-03-31,$74
2019-12-31,$84
2019-09-30,$52
2019-06-30,$47
2019-03-31,$68
2018-12-31,$30
2018-09-30,$14
2018-06-30,$15
2018-03-31,$26
2017-12-31,$26
2017-09-30,$9
2017-06-30,$13
2017-03-31,$24
2016-12-31,$31
2016-09-30,$40
2016-06-30,$44
2016-03-31,$41
2015-12-31,$41
2015-09-30,$43
2015-06-30,$63
2015-03-31,$44
2014-12-31,$27
2014-09-30,$14
2014-06-30,$-11
2014-03-31,$38
2013-12-31,
2013-09-30,$19
2012-12-31,
2011-12-31,
