84;244;ISBC;NYK;13.02.2012;fraud;-2;2;-4;6
85;245;ISBC;NYK;13.04.2021;fraud;-2;2;-4;6
86;247;ISBC;NYK;14.04.2021;fraud;-2;2;-4;6
87;251;IVZ;NYK;18.11.2011;fraud;-2;2;-4;6
88;252;IVZ;NYK;08.06.2018;fraud;-2;2;-4;6
89;253;IVZ;NYK;03.01.2017;fraud;-2;2;-4;6
90;255;IVZ;NYK;18.05.2015;fraud;-2;2;-4;6
91;258;IVZ;NYK;03.08.2015;fraud;-2;2;-4;6
92;260;JEF;NYK;23.07.2014;fraud;-2;2;-4;6
93;265;JEF;NYK;13.03.2013;fraud;-2;2;-4;6
94;266;JEF;NYK;18.02.2014;fraud;-2;2;-4;6
95;269;JEF;NYK;26.02.2014;fraud;-2;2;-4;6
96;270;JPM;NYK;21.07.2015;fraud;-2;2;-4;6
97;271;JPM;NYK;05.02.2020;fraud;-2;2;-4;6
98;276;JPM;NYK;13.04.2021;fraud;-2;2;-4;6
99;277;JPM;NYK;07.07.2014;fraud;-2;2;-4;6
100;281;MMC;NYK;13.04.2021;fraud;-2;2;-4;6
101;285;MMC;NYK;22.03.2021;fraud;-2;2;-4;6
102;289;MMC;NYK;01.02.2017;fraud;-2;2;-4;6
103;290;NDAQ;NYK;01.11.2018;fraud;-2;2;-4;6
104;294;NDAQ;NYK;27.09.2019;fraud;-2;2;-4;6
105;299;NDAQ;NYK;22.03.2021;fraud;-2;2;-4;6
106;300;PGR;NYK;22.03.2021;fraud;-2;2;-4;6
107;307;PGR;NYK;13.04.2021;fraud;-2;2;-4;6
108;308;PGR;NYK;09.04.2021;fraud;-2;2;-4;6
109;313;PNC;NYK;13.04.2021;fraud;-2;2;-4;6
110;315;PNC;NYK;12.04.2021;fraud;-2;2;-4;6
111;318;PNC;NYK;22.03.2021;fraud;-2;2;-4;6
112;324;PRI;NYK;12.04.2021;fraud;-2;2;-4;6
113;327;PRI;NYK;14.04.2021;fraud;-2;2;-4;6
114;328;PRI;NYK;13.04.2021;fraud;-2;2;-4;6
115;330;PSEC;NYK;07.10.2020;fraud;-2;2;-4;6
116;333;PSEC;NYK;14.04.2021;fraud;-2;2;-4;6
117;334;PSEC;NYK;27.02.2018;fraud;-2;2;-4;6
118;335;PSEC;NYK;13.04.2021;fraud;-2;2;-4;6
119;336;PSEC;NYK;13.04.2021;fraud;-2;2;-4;6
120;339;PSEC;NYK;04.03.2021;fraud;-2;2;-4;6
121;340;RGA;NYK;24.10.2019;fraud;-2;2;-4;6
122;347;RGA;NYK;16.01.2014;fraud;-2;2;-4;6
123;350;RJF;NYK;14.04.2021;fraud;-2;2;-4;6
124;353;RJF;NYK;13.04.2021;fraud;-2;2;-4;6
125;354;RJF;NYK;12.04.2021;fraud;-2;2;-4;6
126;355;RJF;NYK;14.04.2021;fraud;-2;2;-4;6
127;360;RLI;NYK;14.04.2021;fraud;-2;2;-4;6
128;363;RLI;NYK;12.04.2021;fraud;-2;2;-4;6
129;364;RLI;NYK;13.04.2021;fraud;-2;2;-4;6
130;371;SCHW;NYK;01.05.2013;fraud;-2;2;-4;6
131;380;SF;NYK;10.08.2011;fraud;-2;2;-4;6
132;393;SIGI;NYK;13.04.2021;fraud;-2;2;-4;6
133;396;SIGI;NYK;13.04.2021;fraud;-2;2;-4;6
134;398;SIGI;NYK;22.03.2021;fraud;-2;2;-4;6
135;400;SIVB;NYK;14.04.2021;fraud;-2;2;-4;6
136;403;SIVB;NYK;01.12.2019;fraud;-2;2;-4;6
137;405;SIVB;NYK;12.04.2021;fraud;-2;2;-4;6
138;406;SIVB;NYK;14.04.2021;fraud;-2;2;-4;6
