JPM;2010-11-07;
JPM;2010-11-08;-54.8
JPM;2010-11-09;-50.9
JPM;2010-11-10;-48.8
JPM;2010-11-11;-49.5
JPM;2010-11-12;-45.4
JPM;2010-11-13;
JPM;2010-11-14;
JPM;2010-11-15;-52.4
JPM;2010-11-16;-58.7
JPM;2010-11-17;-52.8
JPM;2010-11-18;
JPM;2010-11-19;
JPM;2010-11-20;
JPM;2010-11-21;
JPM;2010-11-22;
JPM;2010-11-23;-60.3
JPM;2010-11-24;-65
JPM;2010-11-25;-65.2
JPM;2010-11-26;-59.2
JPM;2010-11-27;
JPM;2010-11-28;
JPM;2010-11-29;-72.9
JPM;2010-11-30;-29.2
JPM;2010-12-01;-66.3
JPM;2010-12-02;-68.2
JPM;2010-12-03;-42.8
JPM;2010-12-04;
JPM;2010-12-05;
JPM;2010-12-06;-45.4
JPM;2010-12-07;-57.5
JPM;2010-12-08;-63.6
JPM;2010-12-09;-66.2
JPM;2010-12-10;-60.5
JPM;2010-12-11;
JPM;2010-12-12;
JPM;2010-12-13;-61.5
JPM;2010-12-14;-35.6
JPM;2010-12-15;-40.7
JPM;2010-12-16;-44.2
JPM;2010-12-17;-48.3
JPM;2010-12-18;
JPM;2010-12-19;
JPM;2010-12-20;-16.2
JPM;2010-12-21;-19.5
JPM;2010-12-22;-36.3
JPM;2010-12-23;-36.2
JPM;2010-12-24;-49.6
JPM;2010-12-25;
JPM;2010-12-26;
JPM;2010-12-27;-43.2
JPM;2010-12-28;-46.2
JPM;2010-12-29;-19.9
JPM;2010-12-30;-34
JPM;2010-12-31;-36.8
JPM;2011-01-01;
JPM;2011-01-02;
JPM;2011-01-03;-4.9
JPM;2011-01-04;-52.6
JPM;2011-01-05;-59.5
JPM;2011-01-06;-53.6
JPM;2011-01-07;-53.6
JPM;2011-01-08;
JPM;2011-01-09;
JPM;2011-01-10;-27.8
JPM;2011-01-11;-64.2
JPM;2011-01-12;-59.3
JPM;2011-01-13;-64.2
JPM;2011-01-14;-61.8
JPM;2011-01-15;
JPM;2011-01-16;
JPM;2011-01-17;-61.6
JPM;2011-01-18;-32.8
JPM;2011-01-19;-65
JPM;2011-01-20;-54.5
JPM;2011-01-21;-50.8
JPM;2011-01-22;
JPM;2011-01-23;
JPM;2011-01-24;-45.7
JPM;2011-01-25;-30.8
JPM;2011-01-26;-53.9
JPM;2011-01-27;-47.7
JPM;2011-01-28;-49.6
JPM;2011-01-29;
JPM;2011-01-30;
JPM;2011-01-31;-44.4
JPM;2011-02-01;-49.6
JPM;2011-02-02;-48.6
JPM;2011-02-03;-41.4
JPM;2011-02-04;-78.2
JPM;2011-02-05;
JPM;2011-02-06;
JPM;2011-02-07;-81.2
JPM;2011-02-08;-49.9
JPM;2011-02-09;-84.2
JPM;2011-02-10;-81.6
JPM;2011-02-11;-88.5
JPM;2011-02-12;
JPM;2011-02-13;
JPM;2011-02-14;-31.7
JPM;2011-02-15;-80.8
JPM;2011-02-16;-47.5
JPM;2011-02-17;-75
JPM;2011-02-18;-41.8
JPM;2011-02-19;
JPM;2011-02-20;
JPM;2011-02-21;-82.2
JPM;2011-02-22;-33.2
JPM;2011-02-23;-38.1
JPM;2011-02-24;-69.5
JPM;2011-02-25;-38.7
JPM;2011-02-26;
JPM;2011-02-27;
JPM;2011-02-28;-76.2
JPM;2011-03-01;-40.3
JPM;2011-03-02;-75.9
JPM;2011-03-03;-45.8
JPM;2011-03-04;-45.5
JPM;2011-03-05;
JPM;2011-03-06;
JPM;2011-03-07;-70.8
JPM;2011-03-08;-49.6
JPM;2011-03-09;-46.3
JPM;2011-03-10;-53.7
JPM;2011-03-11;-54.7
JPM;2011-03-12;
JPM;2011-03-13;
JPM;2011-03-14;-79.1
JPM;2011-03-15;-64.2
JPM;2011-03-16;-60.9
JPM;2011-03-17;-50.9
JPM;2011-03-18;-55.6
JPM;2011-03-19;
JPM;2011-03-20;
JPM;2011-03-21;-46.3
JPM;2011-03-22;-46.6
JPM;2011-03-23;-55.7
JPM;2011-03-24;-56.6
JPM;2011-03-25;-54.1
JPM;2011-03-26;
JPM;2011-03-27;
JPM;2011-03-28;-77.3
JPM;2011-03-29;-51.5
JPM;2011-03-30;-52.5
JPM;2011-03-31;-54.1
JPM;2011-04-01;-50.8
JPM;2011-04-02;
JPM;2011-04-03;
JPM;2011-04-04;-78.1
JPM;2011-04-05;-55.8
JPM;2011-04-06;-46.1
JPM;2011-04-07;-46.7
JPM;2011-04-08;-45.2
JPM;2011-04-09;
JPM;2011-04-10;
JPM;2011-04-11;-42.9
JPM;2011-04-12;-41.3
JPM;2011-04-13;-47.6
JPM;2011-04-14;-42.3
JPM;2011-04-15;19.9
JPM;2011-04-16;
JPM;2011-04-17;
JPM;2011-04-18;22.8
JPM;2011-04-19;85.9
JPM;2011-04-20;82.8
JPM;2011-04-21;-18.8
JPM;2011-04-22;-17.3
JPM;2011-04-23;
JPM;2011-04-24;
JPM;2011-04-25;-41.8
JPM;2011-04-26;-43.8
JPM;2011-04-27;-48.3
JPM;2011-04-28;-44.3
JPM;2011-04-29;-39.6
JPM;2011-04-30;
JPM;2011-05-01;
JPM;2011-05-02;-38
JPM;2011-05-03;-46.1
JPM;2011-05-04;-46.2
JPM;2011-05-05;-18.7
JPM;2011-05-06;-22.8
JPM;2011-05-07;
JPM;2011-05-08;
JPM;2011-05-09;-46.4
JPM;2011-05-10;-19.6
JPM;2011-05-11;-53
JPM;2011-05-12;-50
JPM;2011-05-13;-20.4
JPM;2011-05-14;
JPM;2011-05-15;
JPM;2011-05-16;-53
JPM;2011-05-17;-23.4
JPM;2011-05-18;-53.5
JPM;2011-05-19;-58.1
JPM;2011-05-20;-58.6
JPM;2011-05-21;
JPM;2011-05-22;
JPM;2011-05-23;-57.3
JPM;2011-05-24;-60.7
JPM;2011-05-25;-55.1
JPM;2011-05-26;-51.3
JPM;2011-05-27;-56.4
JPM;2011-05-28;
JPM;2011-05-29;
JPM;2011-05-30;-54.3
JPM;2011-05-31;-50.2
JPM;2011-06-01;-52.6
JPM;2011-06-02;-16.8
JPM;2011-06-03;-56.9
JPM;2011-06-04;
JPM;2011-06-05;
JPM;2011-06-06;-56.3
