CME Group Debt/Equity Ratio Historical Data,CME Group Debt/Equity Ratio Historical Data,CME Group Debt/Equity Ratio Historical Data,CME Group Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$98.31B,$26.35B,3.73
2020-09-30,$98.75B,$27.01B,3.66
2020-06-30,$90.38B,$26.84B,3.37
2020-03-31,$111.33B,$26.60B,4.19
2019-12-31,$49.06B,$26.16B,1.88
2019-09-30,$52.60B,$26.81B,1.96
2019-06-30,$43.87B,$26.49B,1.66
2019-03-31,$45.43B,$26.19B,1.74
2018-12-31,$51.51B,$25.97B,1.98
2018-09-30,$47.07B,$23.30B,2.02
2018-06-30,$46.08B,$23.12B,1.99
2018-03-31,$47.15B,$22.77B,2.07
2017-12-31,$53.38B,$22.41B,2.38
2017-09-30,$57.46B,$20.86B,2.75
2017-06-30,$57.77B,$20.78B,2.78
2017-03-31,$54.92B,$20.55B,2.67
2016-12-31,$49.03B,$20.34B,2.41
2016-09-30,$41.99B,$21.27B,1.97
2016-06-30,$46.55B,$21.07B,2.21
2016-03-31,$47.93B,$20.84B,2.3
2015-12-31,$46.81B,$20.55B,2.28
2015-09-30,$59.57B,$21.38B,2.79
2015-06-30,$52.40B,$21.26B,2.47
2015-03-31,$56.03B,$21.10B,2.66
2014-12-31,$51.32B,$20.92B,2.45
2014-09-30,$42.43B,$21.54B,1.97
2014-06-30,$30.15B,$21.47B,1.4
2014-03-31,$31.86B,$21.31B,1.5
2013-12-31,$33.12B,$21.16B,1.57
2013-09-30,$27.00B,$21.98B,1.23
2013-06-30,$25.03B,$21.86B,1.15
2013-03-31,$20.87B,$21.56B,0.97
2012-12-31,$17.44B,$21.43B,0.81
2012-09-30,$18.15B,$21.71B,0.84
2012-06-30,$16.33B,$21.62B,0.76
2012-03-31,$17.74B,$21.55B,0.82
2011-12-31,$19.21B,$21.55B,0.89
2011-09-30,$18.02B,$20.86B,0.86
2011-06-30,$14.69B,$20.90B,0.7
2011-03-31,$13.92B,$20.79B,0.67
2010-12-31,$14.99B,$20.06B,0.75
2010-09-30,$13.79B,$19.90B,0.69
2010-06-30,$14.88B,$19.38B,0.77
2010-03-31,$16.01B,$19.19B,0.83
2009-12-31,$16.35B,$19.30B,0.85
2009-09-30,$17.39B,$19.13B,0.91
2009-06-30,$19.55B,$18.98B,1.03
2009-03-31,$21.12B,$18.80B,1.12
2008-12-31,$29.47B,$18.69B,1.58
2008-09-30,$20.23B,$19.03B,1.06
2008-06-30,$5.23B,$13.33B,0.39
2008-03-31,$6.06B,$13.18B,0.46
2007-12-31,$8.00B,$12.31B,0.65
2007-09-30,$7.54B,$12.11B,0.62
2007-06-30,$3.56B,$1.74B,2.05
2007-03-31,$3.26B,$1.63B,2.01
2006-12-31,$2.79B,$1.52B,1.84
2006-09-30,$2.08B,$1.42B,1.46
2006-06-30,$2.14B,$1.31B,1.63
2006-03-31,$3.19B,$1.21B,2.64
2005-12-31,$2.85B,$1.12B,2.55
2005-09-30,$1.91B,$1.04B,1.84
2005-06-30,$2.44B,$0.96B,2.54
2005-03-31,$2.41B,$0.88B,2.74
