Ameriprise Financial Debt/Equity Ratio Historical Data,Ameriprise Financial Debt/Equity Ratio Historical Data,Ameriprise Financial Debt/Equity Ratio Historical Data,Ameriprise Financial Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$160.02B,$5.87B,27.27
2020-09-30,$152.62B,$6.07B,25.16
2020-06-30,$148.40B,$6.50B,22.83
2020-03-31,$138.99B,$6.69B,20.77
2019-12-31,$146.10B,$5.73B,25.5
2019-09-30,$143.52B,$6.00B,23.93
2019-06-30,$142.65B,$6.03B,23.66
2019-03-31,$138.56B,$5.84B,23.71
2018-12-31,$131.63B,$5.59B,23.56
2018-09-30,$139.57B,$5.62B,24.84
2018-06-30,$137.64B,$5.63B,24.44
2018-03-31,$138.92B,$5.84B,23.79
2017-12-31,$141.49B,$6.00B,23.6
2017-09-30,$139.18B,$6.31B,22.08
2017-06-30,$136.89B,$6.25B,21.9
2017-03-31,$134.63B,$6.23B,21.62
2016-12-31,$133.53B,$6.29B,21.22
2016-09-30,$136.83B,$6.80B,20.13
2016-06-30,$135.60B,$7.09B,19.13
2016-03-31,$133.16B,$7.09B,18.77
2015-12-31,$136.96B,$8.38B,16.35
2015-09-30,$136.50B,$8.82B,15.47
2015-06-30,$139.81B,$9.00B,15.54
2015-03-31,$142.19B,$9.26B,15.36
2014-12-31,$139.51B,$9.31B,14.99
2014-09-30,$137.85B,$9.34B,14.76
2014-06-30,$139.48B,$9.68B,14.41
2014-03-31,$136.52B,$9.45B,14.45
2013-12-31,$135.34B,$9.23B,14.66
2013-09-30,$131.04B,$9.17B,14.29
2013-06-30,$128.28B,$8.98B,14.28
2013-03-31,$127.68B,$9.62B,13.28
2012-12-31,$125.02B,$9.71B,12.87
2012-09-30,$128.74B,$9.82B,13.11
2012-06-30,$125.66B,$9.61B,13.07
2012-03-31,$127.01B,$9.75B,13.03
2011-12-31,$122.61B,$9.69B,12.65
2011-09-30,$119.39B,$10.99B,10.87
2011-06-30,$123.91B,$11.23B,11.04
2011-03-31,$122.64B,$11.19B,10.96
2010-12-31,$119.93B,$11.29B,10.63
2010-09-30,$117.54B,$11.50B,10.22
2010-06-30,$109.99B,$11.12B,9.89
2010-03-31,$111.68B,$10.70B,10.44
2009-12-31,$103.90B,$9.87B,10.53
2009-09-30,$101.81B,$9.39B,10.84
2009-06-30,$94.84B,$8.37B,11.33
2009-03-31,$87.94B,$6.64B,13.25
2008-12-31,$89.11B,$6.47B,13.78
2008-09-30,$92.43B,$6.72B,13.76
2008-06-30,$96.95B,$7.31B,13.26
2008-03-31,$97.32B,$7.58B,12.84
2007-12-31,$101.42B,$7.81B,12.99
2007-09-30,$102.10B,$7.76B,13.16
2007-06-30,$100.53B,$7.60B,13.23
2007-03-31,$97.43B,$7.73B,12.6
2006-12-31,$96.56B,$7.93B,12.18
2006-09-30,$91.75B,$7.75B,11.83
2006-06-30,$88.81B,$7.24B,12.28
2006-03-31,$88.48B,$7.34B,12.05
2005-12-31,$85.43B,$7.69B,11.11
2005-09-30,$84.54B,$7.74B,10.93
2005-06-30,$0.00B,,0.0
2005-03-31,$0.00B,,0.0
