Air Lease Debt/Equity Ratio Historical Data,Air Lease Debt/Equity Ratio Historical Data,Air Lease Debt/Equity Ratio Historical Data,Air Lease Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$19.14B,$6.07B,3.15
2020-09-30,$17.63B,$5.98B,2.95
2020-06-30,$17.12B,$5.87B,2.92
2020-03-31,$16.95B,$5.74B,2.95
2019-12-31,$16.09B,$5.62B,2.86
2019-09-30,$16.15B,$5.46B,2.96
2019-06-30,$15.18B,$5.30B,2.87
2019-03-31,$14.01B,$5.17B,2.71
2018-12-31,$13.68B,$4.81B,2.85
2018-09-30,$13.09B,$4.48B,2.92
2018-06-30,$12.92B,$4.34B,2.98
2018-03-31,$11.72B,$4.23B,2.77
2017-12-31,$11.49B,$4.13B,2.78
2017-09-30,$11.25B,$3.66B,3.08
2017-06-30,$11.30B,$3.56B,3.18
2017-03-31,$11.02B,$3.46B,3.19
2016-12-31,$10.59B,$3.38B,3.13
2016-09-30,$10.39B,$3.29B,3.16
2016-06-30,$10.15B,$3.20B,3.18
2016-03-31,$9.68B,$3.10B,3.12
2015-12-31,$9.34B,$3.02B,3.09
2015-09-30,$8.97B,$2.94B,3.05
2015-06-30,$8.80B,$2.86B,3.08
2015-03-31,$8.36B,$2.79B,3.0
2014-12-31,$7.92B,$2.77B,2.86
2014-09-30,$7.85B,$2.70B,2.91
2014-06-30,$7.42B,$2.63B,2.82
2014-03-31,$6.97B,$2.58B,2.7
2013-12-31,$6.81B,$2.52B,2.7
2013-09-30,$6.35B,$2.46B,2.58
2013-06-30,$6.03B,$2.41B,2.5
2013-03-31,$5.58B,$2.38B,2.35
2012-12-31,$5.02B,$2.33B,2.15
2012-09-30,$4.88B,$2.29B,2.14
2012-06-30,$4.57B,$2.24B,2.04
2012-03-31,$4.08B,$2.21B,1.84
2011-12-31,$2.99B,$2.18B,1.37
2011-09-30,$2.10B,$2.14B,0.98
2011-06-30,$1.63B,$2.13B,0.77
2011-03-31,$1.55B,$1.24B,1.25
2010-12-31,$1.05B,$1.23B,0.86
2010-09-30,$0.00B,$0.00B,0.0
2010-06-30,$0.00B,$0.00B,0.0
2010-03-31,$0.00B,$0.00B,0.0
