Date,EBIT
2020-12-31,$742
2020-09-30,$451
2020-06-30,$272
2020-03-31,$-606
2019-12-31,$32
2019-09-30,$317
2019-06-30,$580
2019-03-31,$542
2018-12-31,$-9
2018-09-30,$130
2018-06-30,$304
2018-03-31,$177
2017-12-31,$437
2017-09-30,$266
2017-06-30,$316
2017-03-31,$490
2016-12-31,$108
2016-09-30,$76
2016-06-30,$161
2016-03-31,$86
2015-12-31,$196
2015-09-30,$-160
2015-06-30,$312
2015-03-31,$432
2014-12-31,$256
2014-09-30,$343
2014-06-30,$405
2014-03-31,$374
2013-12-31,$705
2013-09-30,$302
2013-06-30,$209
2013-03-31,$502
2012-12-31,$289
2012-09-30,$362
2012-06-30,$-15
2012-03-31,$829
2011-12-31,$585
2011-09-30,$-163
2011-06-30,$530
2011-03-31,"$1,060"
2010-12-31,
2010-09-30,"$1,151"
2010-06-30,$685
2009-12-31,
2008-12-31,
