First Midwest Bancorp Debt/Equity Ratio Historical Data,First Midwest Bancorp Debt/Equity Ratio Historical Data,First Midwest Bancorp Debt/Equity Ratio Historical Data,First Midwest Bancorp Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$18.15B,$2.69B,6.75
2020-09-30,$18.42B,$2.66B,6.92
2020-06-30,$18.59B,$2.66B,7.0
2020-03-31,$17.32B,$2.44B,7.11
2019-12-31,$15.48B,$2.37B,6.53
2019-09-30,$15.67B,$2.34B,6.7
2019-06-30,$15.16B,$2.30B,6.59
2019-03-31,$13.66B,$2.16B,6.33
2018-12-31,$13.45B,$2.06B,6.55
2018-09-30,$13.04B,$1.92B,6.8
2018-06-30,$12.94B,$1.88B,6.87
2018-03-31,$12.51B,$1.87B,6.69
2017-12-31,$12.21B,$1.87B,6.55
2017-09-30,$12.40B,$1.87B,6.65
2017-06-30,$12.13B,$1.84B,6.61
2017-03-31,$11.97B,$1.81B,6.63
2016-12-31,$10.17B,$1.26B,8.09
2016-09-30,$10.31B,$1.27B,8.12
2016-06-30,$9.75B,$1.25B,7.79
2016-03-31,$9.50B,$1.23B,7.76
2015-12-31,$8.59B,$1.15B,7.49
2015-09-30,$8.79B,$1.15B,7.66
2015-06-30,$8.74B,$1.13B,7.77
2015-03-31,$8.38B,$1.12B,7.51
2014-12-31,$8.34B,$1.10B,7.58
2014-09-30,$8.05B,$1.05B,7.67
2014-06-30,$7.27B,$1.04B,6.99
2014-03-31,$7.31B,$1.02B,7.16
2013-12-31,$7.25B,$1.00B,7.24
2013-09-30,$7.53B,$0.99B,7.63
2013-06-30,$7.37B,$0.98B,7.56
2013-03-31,$7.10B,$0.95B,7.45
2012-12-31,$7.16B,$0.94B,7.61
2012-09-30,$7.23B,$0.93B,7.75
2012-06-30,$7.12B,$0.98B,7.28
2012-03-31,$7.02B,$0.97B,7.21
2011-12-31,$7.01B,$0.96B,7.28
2011-09-30,$7.23B,$1.15B,6.27
2011-06-30,$6.99B,$1.14B,6.12
2011-03-31,$6.92B,$1.12B,6.16
2010-12-31,$7.03B,$1.11B,6.32
2010-09-30,$7.22B,$1.16B,6.22
2010-06-30,$6.65B,$1.16B,5.76
2010-03-31,$6.45B,$1.14B,5.64
2009-12-31,$6.77B,$0.94B,7.19
2009-09-30,$6.70B,$0.98B,6.81
2009-06-30,$6.88B,$0.89B,7.71
2009-03-31,$7.35B,$0.90B,8.13
2008-12-31,$7.62B,$0.91B,8.39
2008-09-30,$7.53B,$0.72B,10.47
2008-06-30,$7.59B,$0.72B,10.48
2008-03-31,$7.58B,$0.74B,10.27
2007-12-31,$7.37B,$0.72B,10.18
2007-09-30,$7.16B,$0.73B,9.83
2007-06-30,$7.31B,$0.74B,9.87
2007-03-31,$7.48B,$0.75B,9.92
2006-12-31,$7.69B,$0.75B,10.24
2006-09-30,$7.85B,$0.75B,10.53
2006-06-30,$8.00B,$0.70B,11.51
2006-03-31,$8.03B,$0.69B,11.66
2005-12-31,$6.67B,$0.54B,12.25
2005-09-30,$6.67B,$0.54B,12.43
2005-06-30,$6.54B,$0.54B,12.17
2005-03-31,$6.39B,$0.52B,12.31
